slot	name	init	config	process	lines	file
m1	GND-SIN	$144cc9	$144ccf	$144cd0	159	01_GND-SIN_full.txt
m2	GND-NOIS	$144d9a	$144da1	$144da2	193	02_GND-NOIS_full.txt
m3	SID	$14636f	$14637a	$146382	323	03_SID_full.txt
m4	SWAVE-SAW	$145932	$145949	$14594a	322	04_SWAVE-SAW_full.txt
m5	SWAVE-PULS	$147214	$147237	$14723e	338	05_SWAVE-PULS_full.txt
m6	DPRO-WAVE	$1473a2	$1473aa	$1473b8	258	06_DPRO-WAVE_full.txt
m7	DPRO-BBOX	$1474e9	$1474ed	$14752b	283	07_DPRO-BBOX_full.txt
m11	VO-6	$1464fc	$14653c	$1469bf	2267	11_VO-6_full.txt
m13	FX-REV	$14538e	$1453db	$1453dc	1257	13_FX-REV_full.txt
m14	FX-EQ	$145ab5	$145ae2	$145ae3	462	14_FX-EQ_full.txt
m16	FX-DYN	$1477de	$1477e5	$1477e6	149	16_FX-DYN_full.txt
m17	FX-RING	$14789e	$1478c6	$1478c7	504	17_FX-RING_full.txt
m18	FX-PHA	$145036	$145044	$145045	662	18_FX-PHA_full.txt
m19	FX-FLA	$144e81	$144e99	$144e9a	345	19_FX-FLA_full.txt
m32	m32	$147b38	$147b55	$147b56	402	32_m32_full.txt
m33	m33	$147d01	$147d1c	$147d1d	737	33_m33_full.txt
