 offset    X    Y   sample locations
   V+00  104  162   machines:141fe0, machines:141ff1, machines:141e37, machines:141e38
   V+01    3    9   machines:1463a2, machines:1473da, machines:14518e, machines:1463a6
   V+02    1    6   machines:14417c, machines:142452, machines:147b9a
   V+03    0    2   kernel:0000dc, kernel:0008ca
   V+04    0   32   machines:144e53, machines:144e8d
   V+05    0   30   machines:1437f3, machines:144e26
   V+06    1   46   machines:14474d, machines:144e5a, machines:144eb4
   V+07    0   25   machines:145027, machines:145131
   V+08    0   21   machines:144fbe, machines:1450d9
   V+09    0   25   machines:144ec9, machines:14506b
   V+0a    0   33   machines:145180, machines:1459cf
   V+0b    2   13   machines:144187, kernel:00079f, machines:14245d, machines:144ea6
   V+0c    3    7   machines:146500, machines:146a29, machines:146501, machines:146a2a
   V+0d    1    6   machines:145946, machines:146504, machines:146a3d
   V+0e    1    5   machines:144aea, machines:1459d2, machines:14789e
   V+0f    6    5   kernel:0005a9, kernel:0005e8, machines:146a32, machines:146a4e
   V+10   10   44   machines:144ccb, machines:144ce1, machines:144ccd, machines:144ce2
   V+11   18   34   machines:143860, machines:144e8a, machines:143803, machines:144d9f
   V+12   20   29   machines:144cd6, machines:144cd8, machines:144cd7, machines:144cd9
   V+13    4   23   machines:144dca, machines:144e00, machines:144dcb, machines:144e01
   V+14    6   30   machines:144dc6, machines:144dfc, machines:143808, machines:144d25
   V+15    7   24   machines:144dde, machines:144e10, machines:144d27, machines:144d41
   V+16    8   29   machines:144dda, machines:144e0c, machines:144d71, machines:144d89
   V+17    8   27   machines:144dd6, machines:144e08, machines:1424bc, machines:1441e6
   V+18   16   32   machines:144e18, machines:144e24, machines:144e19, machines:144e25
   V+19   24   37   machines:144da3, machines:144e9b, machines:14503c, machines:1450a7
   V+1a    6   39   machines:145a06, machines:145a0a, machines:1450bb, machines:1450bc
   V+1b    6   35   machines:143858, machines:145a0f, machines:142471, machines:14506a
   V+1c   10   38   machines:145a1b, machines:145a1f, machines:144d2d, machines:144d3b
   V+1d   20   38   machines:144e91, machines:144efe, machines:144d2e, machines:144d3c
   V+1e    4   28   machines:143814, machines:146509, machines:144d79, machines:144d87
   V+1f   15   72   machines:143cab, machines:145a3c, machines:144d7a, machines:144d88
   V+20   27   44   machines:146579, machines:146592, machines:144e94, machines:144ea4
   V+21   27   50   machines:14657c, machines:146596, machines:142478, machines:144e93
   V+22   35   19   machines:144e96, machines:144f0a, machines:144e97, machines:144f0b
   V+23   32   33   machines:145b60, machines:145b66, machines:144f19, machines:144f1a
   V+24   30   39   machines:145b9f, machines:145ba5, machines:144ec8, machines:144ecf
   V+25   32   34   machines:145bc5, machines:145bcb, machines:14381b, machines:144ed8
   V+26    7   18   machines:145beb, machines:145bf1, machines:144ed9, machines:144edb
   V+27   38   22   machines:14594c, machines:145ae7, machines:14384e, machines:145258
   V+28   24   31   machines:1465b3, machines:1465e2, machines:14525d, machines:145280
   V+29    8   18   machines:145c1d, machines:145c23, machines:14525a, machines:14527f
   V+2a    5   26   machines:1441ad, machines:146fab, machines:14525e, machines:145279
   V+2b    4   18   machines:146fd9, machines:146fdd, machines:145263, machines:14527b
   V+2c    5   23   machines:146fda, machines:146fde, machines:145260, machines:14527a
   V+2d    2   15   machines:147008, machines:14700c, machines:1446fd, machines:1451df
   V+2e    5   15   machines:145a4d, machines:145a4f, machines:145226, machines:14524b
   V+2f    4   12   machines:147037, machines:14703b, machines:1441d2, machines:145223
   V+30   12   12   machines:144519, machines:145ae0, machines:145227, machines:145244
   V+31   14   13   machines:143828, machines:145ad5, machines:14522c, machines:145246
   V+32    3   16   machines:146536, machines:1469fe, machines:145229, machines:145245
   V+33    2   12   machines:147340, machines:147342, machines:1452f0, machines:1452f2
   V+34    2   18   machines:1471cb, machines:1471e7, machines:1452ce, machines:1452d0
   V+35    2    7   machines:1471cc, machines:1471e8, machines:144aee, machines:1452d3
   V+36    2   14   machines:146564, machines:14720f, machines:145481, machines:145491
   V+37    9   18   machines:145ad1, machines:146561, machines:1451ec, machines:1451ee
   V+38    0    4   machines:1451e7, machines:1451e9
   V+39    0    2   machines:1451f7, machines:1451f9
   V+3e    0    1   machines:14383a
   V+45    0    2   machines:1453de, machines:145604
   V+46    0    2   machines:1453e0, machines:145602
   V+47    0    3   machines:1453d9, machines:1453ef
   V+48    0    3   machines:1453d7, machines:1453e4
   V+54    2    2   machines:147a63, machines:147a72, machines:147a61, machines:147a70
   V+55    6    6   machines:1478a4, machines:1478e1, machines:1478a6, machines:1478e3
   V+56    3    4   machines:1478b2, machines:147982, machines:1478b6, machines:1478fe
   V+57    3    2   machines:1478aa, machines:1479ee, machines:1479f0, machines:1479f9
   V+af    0   13   machines:146609, machines:146642
   V+cb    1    1   machines:145d04, machines:145d02
   V+cf    1    1   machines:145d0c, machines:145d00
   V+d0    1    1   machines:145d08, machines:145cfe
   V+d1    0    1   machines:145cec
   V+d3    1    1   machines:145cfc, machines:145cfa
   V+d4    1    1   machines:145cf8, machines:145cf6
   V+d5    1    1   machines:145cf4, machines:145cf2
   V+d6    1    1   machines:145cee, machines:145cf0
   V+d7    0    1   machines:145ce0
   V+fa    1    1   machines:145ce2, machines:145ce4
   V+fc    1    1   machines:145ce8, machines:145cea
   V+ff    1    0   kernel:0002db
V+a852f    1    0   machines:1442a8
