# P:$141800  env_shape_tbl_A  (128 words)
# AMP/FLT env: ATTACK curve table (indexed by ATK>>10, 0..127); used at P:$04B6/08A4
#  idx | hex     signed24   fraction(24-bit)
     0 | 400000   4194304   0.5000000
     1 | 3ADEC2   3858114   0.4599230
     2 | 3626CC   3548876   0.4230590
     3 | 31CFA2   3264418   0.3891490
     4 | 2DD189   3002761   0.3579570
     5 | 2A2563   2762083   0.3292660
     6 | 26C493   2540691   0.3028740
     7 | 23A919   2337049   0.2785980
     8 | 20CD5B   2149723   0.2562670
     9 | 1E2C45   1977413   0.2357260
    10 | 1BC127   1818919   0.2168320
    11 | 1987A5   1673125   0.1994520
    12 | 177BC8   1539016   0.1834650
    13 | 1599ED   1415661   0.1687599
    14 | 13DEAD   1302189   0.1552330
    15 | 1246FA   1197818   0.1427910
    16 | 10CFEA   1101802   0.1313450
    17 | 0F76F7   1013495   0.1208180
    18 | 0E39A4    932260   0.1111341
    19 | 0D15BE    857534   0.1022260
    20 | 0C093E    788798   0.0940320
    21 | 0B1245    725573   0.0864950
    22 | 0A2F16    667414   0.0795619
    23 | 095E20    613920   0.0731850
    24 | 089DE9    564713   0.0673190
    25 | 07ED18    519448   0.0619230
    26 | 074A77    477815   0.0569600
    27 | 06B4D9    439513   0.0523940
    28 | 062B41    404289   0.0481950
    29 | 05ACAC    371884   0.0443320
    30 | 053837    342071   0.0407780
    31 | 04CD21    314657   0.0375100
    32 | 046A98    289432   0.0345030
    33 | 040FFE    266238   0.0317380
    34 | 03BCA1    244897   0.0291940
    35 | 036FF4    225268   0.0268540
    36 | 032967    207207   0.0247010
    37 | 02E886    190598   0.0227211
    38 | 02ACDA    175322   0.0209000
    39 | 0275F7    161271   0.0192250
    40 | 024378    148344   0.0176840
    41 | 021509    136457   0.0162669
    42 | 01EA4F    125519   0.0149630
    43 | 01C305    115461   0.0137640
    44 | 019ED8    106200   0.0126600
    45 | 017D9E     97694   0.0116460
    46 | 015F03     89859   0.0107120
    47 | 0142DD     82653   0.0098530
    48 | 012902     76034   0.0090640
    49 | 011130     69936   0.0083370
    50 | 00FB4C     64332   0.0076690
    51 | 00E725     59173   0.0070540
    52 | 00D4A2     54434   0.0064890
    53 | 00C398     50072   0.0059690
    54 | 00B3E5     46053   0.0054899
    55 | 00A57A     42362   0.0050499
    56 | 009835     38965   0.0046450
    57 | 008C05     35845   0.0042731
    58 | 0080D0     32976   0.0039310
    59 | 00767D     30333   0.0036160
    60 | 006CFD     27901   0.0033261
    61 | 00643D     25661   0.0030590
    62 | 005C36     23606   0.0028141
    63 | 0054CE     21710   0.0025880
    64 | 004E05     19973   0.0023810
    65 | 0047C3     18371   0.0021900
    66 | 004207     16903   0.0020150
    67 | 003CB8     15544   0.0018530
    68 | 0037DF     14303   0.0017051
    69 | 003361     13153   0.0015680
    70 | 002F40     12096   0.0014420
    71 | 002B7C     11132   0.0013270
    72 | 0027FA     10234   0.0012200
    73 | 0024CC      9420   0.0011230
    74 | 0021D9      8665   0.0010329
    75 | 001F21      7969   0.0009500
    76 | 001CA4      7332   0.0008740
    77 | 001A58      6744   0.0008039
    78 | 001837      6199   0.0007390
    79 | 001648      5704   0.0006800
    80 | 00147B      5243   0.0006250
    81 | 0012D7      4823   0.0005749
    82 | 001156      4438   0.0005291
    83 | 000FF5      4085   0.0004870
    84 | 000EAE      3758   0.0004480
    85 | 000D80      3456   0.0004120
    86 | 000C6B      3179   0.0003790
    87 | 000B70      2928   0.0003490
    88 | 000A85      2693   0.0003210
    89 | 0009AB      2475   0.0002950
    90 | 0008E1      2273   0.0002710
    91 | 000829      2089   0.0002490
    92 | 000781      1921   0.0002290
    93 | 0006EA      1770   0.0002110
    94 | 00065B      1627   0.0001940
    95 | 0005DE      1502   0.0001791
    96 | 000560      1376   0.0001640
    97 | 0004F3      1267   0.0001510
    98 | 00048E      1166   0.0001390
    99 | 000432      1074   0.0001280
   100 | 0003DE       990   0.0001180
   101 | 00038A       906   0.0001080
   102 | 000347       839   0.0001000
   103 | 000304       772   0.0000920
   104 | 0002C1       705   0.0000840
   105 | 000286       646   0.0000770
   106 | 000254       596   0.0000710
   107 | 00022A       554   0.0000660
   108 | 0001F7       503   0.0000600
   109 | 0001CD       461   0.0000550
   110 | 0001AC       428   0.0000510
   111 | 00018A       394   0.0000470
   112 | 000169       361   0.0000430
   113 | 000150       336   0.0000401
   114 | 000136       310   0.0000370
   115 | 00011D       285   0.0000340
   116 | 000104       260   0.0000310
   117 | 0000EB       235   0.0000280
   118 | 0000DA       218   0.0000260
   119 | 0000C9       201   0.0000240
   120 | 0000B9       185   0.0000221
   121 | 0000A8       168   0.0000200
   122 | 00009F       159   0.0000190
   123 | 00008F       143   0.0000170
   124 | 000086       134   0.0000160
   125 | 00007E       126   0.0000150
   126 | 00006D       109   0.0000130
   127 | 000065       101   0.0000120
