# P:$142F06  kernel_tbl_142F06  (384 words)
# kernel tbl: interp partner at P:$0637-0639; EQ region P:$07D9/0860
#  idx | hex     signed24   fraction(24-bit)
     0 | 7FF846   8386630   0.9997642
     1 | 7FF83B   8386619   0.9997629
     2 | 7FF830   8386608   0.9997616
     3 | 7FF825   8386597   0.9997603
     4 | 7FF81A   8386586   0.9997590
     5 | 7FF80F   8386575   0.9997576
     6 | 7FF804   8386564   0.9997563
     7 | 7FF7F9   8386553   0.9997550
     8 | 7FF7EE   8386542   0.9997537
     9 | 7FF7E3   8386531   0.9997524
    10 | 7FF7D8   8386520   0.9997511
    11 | 7FF7CC   8386508   0.9997497
    12 | 7FF7C1   8386497   0.9997483
    13 | 7FF7B5   8386485   0.9997469
    14 | 7FF7AA   8386474   0.9997456
    15 | 7FF79E   8386462   0.9997442
    16 | 7FF793   8386451   0.9997429
    17 | 7FF787   8386439   0.9997414
    18 | 7FF77B   8386427   0.9997400
    19 | 7FF76F   8386415   0.9997386
    20 | 7FF763   8386403   0.9997371
    21 | 7FF758   8386392   0.9997358
    22 | 7FF74B   8386379   0.9997343
    23 | 7FF73F   8386367   0.9997329
    24 | 7FF733   8386355   0.9997314
    25 | 7FF727   8386343   0.9997300
    26 | 7FF71B   8386331   0.9997286
    27 | 7FF70E   8386318   0.9997270
    28 | 7FF702   8386306   0.9997256
    29 | 7FF6F5   8386293   0.9997240
    30 | 7FF6E9   8386281   0.9997226
    31 | 7FF6DC   8386268   0.9997211
    32 | 7FF6CF   8386255   0.9997195
    33 | 7FF6C3   8386243   0.9997181
    34 | 7FF6B6   8386230   0.9997165
    35 | 7FF6A9   8386217   0.9997150
    36 | 7FF69C   8386204   0.9997134
    37 | 7FF68F   8386191   0.9997119
    38 | 7FF682   8386178   0.9997103
    39 | 7FF675   8386165   0.9997088
    40 | 7FF667   8386151   0.9997071
    41 | 7FF65A   8386138   0.9997056
    42 | 7FF64D   8386125   0.9997040
    43 | 7FF63F   8386111   0.9997023
    44 | 7FF632   8386098   0.9997008
    45 | 7FF624   8386084   0.9996991
    46 | 7FF616   8386070   0.9996974
    47 | 7FF608   8386056   0.9996958
    48 | 7FF5FB   8386043   0.9996942
    49 | 7FF5ED   8386029   0.9996926
    50 | 7FF5DF   8386015   0.9996909
    51 | 7FF5D1   8386001   0.9996892
    52 | 7FF5C2   8385986   0.9996874
    53 | 7FF5B4   8385972   0.9996858
    54 | 7FF5A6   8385958   0.9996841
    55 | 7FF597   8385943   0.9996823
    56 | 7FF589   8385929   0.9996806
    57 | 7FF57A   8385914   0.9996789
    58 | 7FF56C   8385900   0.9996772
    59 | 7FF55D   8385885   0.9996754
    60 | 7FF54E   8385870   0.9996736
    61 | 7FF540   8385856   0.9996719
    62 | 7FF531   8385841   0.9996701
    63 | 7FF522   8385826   0.9996684
    64 | 7FF512   8385810   0.9996665
    65 | 7FF503   8385795   0.9996647
    66 | 7FF4F4   8385780   0.9996629
    67 | 7FF4E5   8385765   0.9996611
    68 | 7FF4D5   8385749   0.9996592
    69 | 7FF4C6   8385734   0.9996574
    70 | 7FF4B6   8385718   0.9996555
    71 | 7FF4A6   8385702   0.9996536
    72 | 7FF497   8385687   0.9996518
    73 | 7FF487   8385671   0.9996499
    74 | 7FF477   8385655   0.9996480
    75 | 7FF467   8385639   0.9996461
    76 | 7FF457   8385623   0.9996442
    77 | 7FF446   8385606   0.9996421
    78 | 7FF436   8385590   0.9996402
    79 | 7FF426   8385574   0.9996383
    80 | 7FF415   8385557   0.9996363
    81 | 7FF405   8385541   0.9996344
    82 | 7FF3F4   8385524   0.9996324
    83 | 7FF3E3   8385507   0.9996303
    84 | 7FF3D2   8385490   0.9996283
    85 | 7FF3C2   8385474   0.9996264
    86 | 7FF3B1   8385457   0.9996244
    87 | 7FF39F   8385439   0.9996222
    88 | 7FF38E   8385422   0.9996202
    89 | 7FF37D   8385405   0.9996182
    90 | 7FF36C   8385388   0.9996161
    91 | 7FF35A   8385370   0.9996140
    92 | 7FF348   8385352   0.9996119
    93 | 7FF337   8385335   0.9996098
    94 | 7FF325   8385317   0.9996077
    95 | 7FF313   8385299   0.9996055
    96 | 7FF301   8385281   0.9996034
    97 | 7FF2EF   8385263   0.9996012
    98 | 7FF2DD   8385245   0.9995991
    99 | 7FF2CB   8385227   0.9995970
   100 | 7FF2B8   8385208   0.9995947
   101 | 7FF2A6   8385190   0.9995925
   102 | 7FF293   8385171   0.9995903
   103 | 7FF281   8385153   0.9995881
   104 | 7FF26E   8385134   0.9995859
   105 | 7FF25B   8385115   0.9995836
   106 | 7FF248   8385096   0.9995813
   107 | 7FF235   8385077   0.9995791
   108 | 7FF222   8385058   0.9995768
   109 | 7FF20F   8385039   0.9995745
   110 | 7FF1FB   8385019   0.9995722
   111 | 7FF1E8   8385000   0.9995699
   112 | 7FF1D4   8384980   0.9995675
   113 | 7FF1C0   8384960   0.9995651
   114 | 7FF1AD   8384941   0.9995629
   115 | 7FF199   8384921   0.9995605
   116 | 7FF185   8384901   0.9995581
   117 | 7FF171   8384881   0.9995557
   118 | 7FF15C   8384860   0.9995532
   119 | 7FF148   8384840   0.9995508
   120 | 7FF134   8384820   0.9995484
   121 | 7FF11F   8384799   0.9995459
   122 | 7FF10A   8384778   0.9995434
   123 | 7FF0F6   8384758   0.9995410
   124 | 7FF0E1   8384737   0.9995385
   125 | 7FF0CC   8384716   0.9995360
   126 | 7FF0B7   8384695   0.9995335
   127 | 7FF0A1   8384673   0.9995309
   128 | 7FF08C   8384652   0.9995284
   129 | 7FF076   8384630   0.9995258
   130 | 7FF061   8384609   0.9995233
   131 | 7FF04B   8384587   0.9995207
   132 | 7FF035   8384565   0.9995180
   133 | 7FF01F   8384543   0.9995154
   134 | 7FF009   8384521   0.9995128
   135 | 7FEFF3   8384499   0.9995102
   136 | 7FEFDD   8384477   0.9995075
   137 | 7FEFC6   8384454   0.9995048
   138 | 7FEFB0   8384432   0.9995022
   139 | 7FEF99   8384409   0.9994994
   140 | 7FEF82   8384386   0.9994967
   141 | 7FEF6B   8384363   0.9994940
   142 | 7FEF54   8384340   0.9994912
   143 | 7FEF3D   8384317   0.9994885
   144 | 7FEF26   8384294   0.9994857
   145 | 7FEF0F   8384271   0.9994830
   146 | 7FEEF7   8384247   0.9994801
   147 | 7FEEDF   8384223   0.9994773
   148 | 7FEEC8   8384200   0.9994745
   149 | 7FEEB0   8384176   0.9994717
   150 | 7FEE98   8384152   0.9994688
   151 | 7FEE7F   8384127   0.9994658
   152 | 7FEE67   8384103   0.9994630
   153 | 7FEE4F   8384079   0.9994601
   154 | 7FEE36   8384054   0.9994571
   155 | 7FEE1D   8384029   0.9994541
   156 | 7FEE04   8384004   0.9994512
   157 | 7FEDEB   8383979   0.9994482
   158 | 7FEDD2   8383954   0.9994452
   159 | 7FEDB9   8383929   0.9994422
   160 | 7FEDA0   8383904   0.9994392
   161 | 7FED86   8383878   0.9994361
   162 | 7FED6C   8383852   0.9994330
   163 | 7FED53   8383827   0.9994301
   164 | 7FED39   8383801   0.9994270
   165 | 7FED1F   8383775   0.9994239
   166 | 7FED04   8383748   0.9994206
   167 | 7FECEA   8383722   0.9994175
   168 | 7FECCF   8383695   0.9994143
   169 | 7FECB5   8383669   0.9994112
   170 | 7FEC9A   8383642   0.9994080
   171 | 7FEC7F   8383615   0.9994048
   172 | 7FEC64   8383588   0.9994016
   173 | 7FEC49   8383561   0.9993984
   174 | 7FEC2D   8383533   0.9993950
   175 | 7FEC12   8383506   0.9993918
   176 | 7FEBF6   8383478   0.9993885
   177 | 7FEBDA   8383450   0.9993851
   178 | 7FEBBE   8383422   0.9993818
   179 | 7FEBA2   8383394   0.9993784
