# P:$143546  kernel_tbl_143546  (128 words)
# kernel tbl: EQ/gain region P:$0660/068C (indexed by (param>>1)<<8?); named PHASER_cntr before
#  idx | hex     signed24   fraction(24-bit)
     0 | 000D35      3381   0.0004030
     1 | 000D47      3399   0.0004052
     2 | 000D5A      3418   0.0004075
     3 | 000D6C      3436   0.0004096
     4 | 000D7F      3455   0.0004119
     5 | 000D92      3474   0.0004141
     6 | 000DA5      3493   0.0004164
     7 | 000DB7      3511   0.0004185
     8 | 000DCB      3531   0.0004209
     9 | 000DDE      3550   0.0004232
    10 | 000DF1      3569   0.0004255
    11 | 000E04      3588   0.0004277
    12 | 000E18      3608   0.0004301
    13 | 000E2B      3627   0.0004324
    14 | 000E3F      3647   0.0004348
    15 | 000E53      3667   0.0004371
    16 | 000E67      3687   0.0004395
    17 | 000E7B      3707   0.0004419
    18 | 000E8F      3727   0.0004443
    19 | 000EA3      3747   0.0004467
    20 | 000EB8      3768   0.0004492
    21 | 000ECC      3788   0.0004516
    22 | 000EE1      3809   0.0004541
    23 | 000EF5      3829   0.0004565
    24 | 000F0A      3850   0.0004590
    25 | 000F1F      3871   0.0004615
    26 | 000F34      3892   0.0004640
    27 | 000F49      3913   0.0004665
    28 | 000F5E      3934   0.0004690
    29 | 000F74      3956   0.0004716
    30 | 000F89      3977   0.0004741
    31 | 000F9F      3999   0.0004767
    32 | 000FB4      4020   0.0004792
    33 | 000FCA      4042   0.0004818
    34 | 000FE0      4064   0.0004845
    35 | 000FF6      4086   0.0004871
    36 | 00100C      4108   0.0004897
    37 | 001023      4131   0.0004925
    38 | 001039      4153   0.0004951
    39 | 001050      4176   0.0004978
    40 | 001066      4198   0.0005004
    41 | 00107D      4221   0.0005032
    42 | 001094      4244   0.0005059
    43 | 0010AB      4267   0.0005087
    44 | 0010C2      4290   0.0005114
    45 | 0010DA      4314   0.0005143
    46 | 0010F1      4337   0.0005170
    47 | 001109      4361   0.0005199
    48 | 001120      4384   0.0005226
    49 | 001138      4408   0.0005255
    50 | 001150      4432   0.0005283
    51 | 001168      4456   0.0005312
    52 | 001180      4480   0.0005341
    53 | 001198      4504   0.0005369
    54 | 0011B1      4529   0.0005399
    55 | 0011CA      4554   0.0005429
    56 | 0011E2      4578   0.0005457
    57 | 0011FB      4603   0.0005487
    58 | 001214      4628   0.0005517
    59 | 00122D      4653   0.0005547
    60 | 001246      4678   0.0005577
    61 | 001260      4704   0.0005608
    62 | 001279      4729   0.0005637
    63 | 001293      4755   0.0005668
    64 | 0012AD      4781   0.0005699
    65 | 0012C7      4807   0.0005730
    66 | 0012E1      4833   0.0005761
    67 | 0012FB      4859   0.0005792
    68 | 001316      4886   0.0005825
    69 | 001330      4912   0.0005856
    70 | 00134B      4939   0.0005888
    71 | 001366      4966   0.0005920
    72 | 001380      4992   0.0005951
    73 | 00139C      5020   0.0005984
    74 | 0013B7      5047   0.0006016
    75 | 0013D2      5074   0.0006049
    76 | 0013EE      5102   0.0006082
    77 | 001409      5129   0.0006114
    78 | 001425      5157   0.0006148
    79 | 001441      5185   0.0006181
    80 | 00145D      5213   0.0006214
    81 | 00147A      5242   0.0006249
    82 | 001496      5270   0.0006282
    83 | 0014B3      5299   0.0006317
    84 | 0014D0      5328   0.0006351
    85 | 0014ED      5357   0.0006386
    86 | 00150A      5386   0.0006421
    87 | 001527      5415   0.0006455
    88 | 001544      5444   0.0006490
    89 | 001562      5474   0.0006526
    90 | 00157F      5503   0.0006560
    91 | 00159D      5533   0.0006596
    92 | 0015BB      5563   0.0006632
    93 | 0015DA      5594   0.0006669
    94 | 0015F8      5624   0.0006704
    95 | 001616      5654   0.0006740
    96 | 001635      5685   0.0006777
    97 | 001654      5716   0.0006814
    98 | 001673      5747   0.0006851
    99 | 001692      5778   0.0006888
   100 | 0016B2      5810   0.0006926
   101 | 0016D1      5841   0.0006963
   102 | 0016F1      5873   0.0007001
   103 | 001711      5905   0.0007039
   104 | 001731      5937   0.0007077
   105 | 001751      5969   0.0007116
   106 | 001771      6001   0.0007154
   107 | 001792      6034   0.0007193
   108 | 0017B3      6067   0.0007232
   109 | 0017D4      6100   0.0007272
   110 | 0017F5      6133   0.0007311
   111 | 001816      6166   0.0007350
   112 | 001838      6200   0.0007391
   113 | 001859      6233   0.0007430
   114 | 00187B      6267   0.0007471
   115 | 00189D      6301   0.0007511
   116 | 0018BF      6335   0.0007552
   117 | 0018E2      6370   0.0007594
   118 | 001904      6404   0.0007634
   119 | 001927      6439   0.0007676
   120 | 00194A      6474   0.0007718
   121 | 00196D      6509   0.0007759
   122 | 001990      6544   0.0007801
   123 | 0019B4      6580   0.0007844
   124 | 0019D8      6616   0.0007887
   125 | 0019FC      6652   0.0007930
   126 | 001A20      6688   0.0007973
   127 | 001A44      6724   0.0008016
