# P:$1447C6  dist_curve_2  (256 words; indexed by DIST frac x $100, reader P:$07B7)
# scale path: DIST^2 x $7DECCD + $021333 (P:$07B3-$07B5)
#  idx | hex     signed24   fraction(24-bit)
     0 | 7FFFFF   8388607   0.9999999
     1 | 7FE1AF   8380847   0.9990748
     2 | 7F8712   8357650   0.9963095
     3 | 7EF12B   8319275   0.9917349
     4 | 7E2199   8266137   0.9854003
     5 | 7D1A94   8198804   0.9773736
     6 | 7BDEE0   8117984   0.9677391
     7 | 7A71B6   8024502   0.9565952
     8 | 78D6AC   7919276   0.9440513
     9 | 7711AD   7803309   0.9302269
    10 | 7526D5   7677653   0.9152476
    11 | 731A64   7543396   0.8992429
    12 | 70F0A6   7401638   0.8823440
    13 | 6EADE3   7253475   0.8646816
    14 | 6C564D   7099981   0.8463837
    15 | 69EDF0   6942192   0.8275738
    16 | 6778A9   6781097   0.8083698
    17 | 64FA1B   6617627   0.7888826
    18 | 6275A6   6452646   0.7692153
    19 | 5FEE6A   6286954   0.7494633
    20 | 5D673A   6121274   0.7297127
    21 | 5AE2A3   5956259   0.7100414
    22 | 5862E9   5792489   0.6905185
    23 | 55EA0D   5630477   0.6712052
    24 | 5379CA   5470666   0.6521542
    25 | 51139C   5313436   0.6334109
    26 | 4EB8C4   5159108   0.6150136
    27 | 4C6A4D   5007949   0.5969940
    28 | 4A290F   4860175   0.5793780
    29 | 47F5B4   4715956   0.5621858
    30 | 45D0C0   4575424   0.5454330
    31 | 43BA8F   4438671   0.5291308
    32 | 41B35E   4305758   0.5132864
    33 | 3FDD9E   4185502   0.4989507
    34 | 3EE6CB   4122315   0.4914182
    35 | 3DF3EF   4060143   0.4840068
    36 | 3D0529   3999017   0.4767200
    37 | 3C1A93   3938963   0.4695610
    38 | 3B343C   3879996   0.4625316
    39 | 3A5233   3822131   0.4556335
    40 | 39747E   3765374   0.4488676
    41 | 389B20   3709728   0.4422340
    42 | 37C619   3655193   0.4357330
    43 | 36F564   3601764   0.4293637
    44 | 3628F9   3549433   0.4231254
    45 | 3560D0   3498192   0.4170170
    46 | 349CDD   3448029   0.4110371
    47 | 33DD12   3398930   0.4051840
    48 | 33215F   3350879   0.3994559
    49 | 3269B5   3303861   0.3938509
    50 | 31B602   3257858   0.3883669
    51 | 310633   3212851   0.3830017
    52 | 305A35   3168821   0.3777529
    53 | 2FB1F6   3125750   0.3726184
    54 | 2F0D60   3083616   0.3675957
    55 | 2E6C60   3042400   0.3626823
    56 | 2DCEE2   3002082   0.3578761
    57 | 2D413D   2965821   0.3535534
    58 | 2D413D   2965821   0.3535534
    59 | 2D413D   2965821   0.3535534
    60 | 2D413D   2965821   0.3535534
    61 | 2D413D   2965821   0.3535534
    62 | 2D413D   2965821   0.3535534
    63 | 2D413D   2965821   0.3535534
    64 | 2D413D   2965821   0.3535534
    65 | 2D413D   2965821   0.3535534
    66 | 2D413D   2965821   0.3535534
    67 | 2D413D   2965821   0.3535534
    68 | 2D413D   2965821   0.3535534
    69 | 2D413D   2965821   0.3535534
    70 | 2D413D   2965821   0.3535534
    71 | 2D413D   2965821   0.3535534
    72 | 2D413D   2965821   0.3535534
    73 | 2D413D   2965821   0.3535534
    74 | 2D413D   2965821   0.3535534
