# P:$144AC7  lp_filter_coeffs  (258 words)
# LP one-pole coeff table 258 words (chorus LP feedback P:$1477AC + kernel delay LP P:$0A5F/0A86)
#  idx | hex     signed24   fraction(24-bit)
     0 | 004876     18550   0.0022113
     1 | 004CE3     19683   0.0023464
     2 | 005196     20886   0.0024898
     3 | 005692     22162   0.0026419
     4 | 005BDC     23516   0.0028033
     5 | 006179     24953   0.0029746
     6 | 00676D     26477   0.0031563
     7 | 006DBE     28094   0.0033491
     8 | 007472     29810   0.0035536
     9 | 007B8E     31630   0.0037706
    10 | 008319     33561   0.0040008
    11 | 008B1A     35610   0.0042450
    12 | 009398     37784   0.0045042
    13 | 009C9A     40090   0.0047791
    14 | 00A629     42537   0.0050708
    15 | 00B04C     45132   0.0053802
    16 | 00BB0E     47886   0.0057085
    17 | 00C676     50806   0.0060565
    18 | 00D291     53905   0.0064260
    19 | 00DF67     57191   0.0068177
    20 | 00ED06     60678   0.0072334
    21 | 00FB78     64376   0.0076742
    22 | 010ACA     68298   0.0081418
    23 | 011B0A     72458   0.0086377
    24 | 012C47     76871   0.0091637
    25 | 013E8F     81551   0.0097216
    26 | 0151F2     86514   0.0103133
    27 | 016682     91778   0.0109408
    28 | 017C51     97361   0.0116063
    29 | 019370    103280   0.0123119
    30 | 01ABF5    109557   0.0130602
    31 | 01C5F5    116213   0.0138537
    32 | 01E187    123271   0.0146950
    33 | 01FEC1    130753   0.0155870
    34 | 021DBE    138686   0.0165327
    35 | 023E98    147096   0.0175352
    36 | 02616B    156011   0.0185980
    37 | 028654    165460   0.0197244
    38 | 02AD74    175476   0.0209184
    39 | 02D6EB    186091   0.0221838
    40 | 0302DD    197341   0.0235249
    41 | 03316E    209262   0.0249460
    42 | 0362C5    221893   0.0264517
    43 | 03970B    235275   0.0280470
    44 | 03CE6B    249451   0.0297369
    45 | 040914    264468   0.0315270
    46 | 044735    280373   0.0334231
    47 | 048900    297216   0.0354309
    48 | 04CEAC    315052   0.0375571
    49 | 05186E    333934   0.0398080
    50 | 056684    353924   0.0421910
    51 | 05B928    375080   0.0447130
    52 | 06109E    397470   0.0473821
    53 | 066D27    421159   0.0502061
    54 | 06CF0C    446220   0.0531936
    55 | 073696    472726   0.0563533
    56 | 07A413    500755   0.0596946
    57 | 0817D4    530388   0.0632272
    58 | 08922E    561710   0.0669611
    59 | 091378    594808   0.0709066
    60 | 099C0E    629774   0.0750749
    61 | 0A2C4E    666702   0.0794771
    62 | 0AC49D    705693   0.0841252
    63 | 0B655E    746846   0.0890310
    64 | 0C0EFD    790269   0.0942074
    65 | 0CC1E5    836069   0.0996672
    66 | 0D7E86    884358   0.1054237
    67 | 0E4553    935251   0.1114906
    68 | 0F16C0    988864   0.1178818
    69 | 0FF345   1045317   0.1246115
    70 | 10DB5B   1104731   0.1316942
    71 | 11CF7C   1167228   0.1391444
    72 | 12D023   1232931   0.1469768
    73 | 13DDCC   1301964   0.1552062
    74 | 14F8F2   1374450   0.1638472
    75 | 16220C   1450508   0.1729140
    76 | 175993   1530259   0.1824211
    77 | 189FF7   1613815   0.1923817
    78 | 19F5A8   1701288   0.2028093
    79 | 1B5B0B   1792779   0.2137159
    80 | 1CD081   1888385   0.2251130
    81 | 1E565E   1988190   0.2370107
    82 | 1FECEC   2092268   0.2494178
    83 | 219466   2200678   0.2623413
    84 | 234CF9   2313465   0.2757865
    85 | 2516BD   2430653   0.2897564
    86 | 26F1B5   2552245   0.3042513
    87 | 28DDCF   2678223   0.3192691
    88 | 2ADADC   2808540   0.3348041
    89 | 2CE891   2943121   0.3508474
    90 | 2F0683   3081859   0.3673862
    91 | 313423   3224611   0.3844036
    92 | 3370BD   3371197   0.4018780
    93 | 35BB79   3521401   0.4197837
    94 | 381350   3674960   0.4380894
    95 | 3A7714   3831572   0.4567590
    96 | 3CE56A   3990890   0.4757512
    97 | 3F5CCB   4152523   0.4950193
    98 | 41DB85   4316037   0.5145117
    99 | 445FBA   4480954   0.5341713
   100 | 46E76A   4646762   0.5539372
   101 | 49706C   4812908   0.5737433
   102 | 4BF87C   4978812   0.5935206
   103 | 4E7D40   5143872   0.6131973
   104 | 50FC49   5307465   0.6326991
   105 | 537323   5468963   0.6519512
   106 | 55DF5D   5627741   0.6708790
   107 | 583E8D   5783181   0.6894089
   108 | 5A8E63   5934691   0.7074703
   109 | 5CCCAB   6081707   0.7249960
   110 | 5EF75C   6223708   0.7419238
   111 | 610C9C   6360220   0.7581973
   112 | 630ACC   6490828   0.7737670
   113 | 64F089   6615177   0.7885906
   114 | 66BCB0   6732976   0.8026333
   115 | 686E62   6844002   0.8158686
   116 | 6A04FD   6948093   0.8282772
   117 | 6B801F   7045151   0.8398474
   118 | 6CDF98   7135128   0.8505735
   119 | 6E236B   7218027   0.8604559
   120 | 6F4BBA   7293882   0.8694985
   121 | 7058C1   7362753   0.8777086
   122 | 714AC1   7424705   0.8850938
   123 | 7221F3   7479795   0.8916610
   124 | 72DE71   7528049   0.8974134
   125 | 73801D   7569437   0.9023472
   126 | 74067D   7603837   0.9064480
   127 | 747093   7630995   0.9096855
   128 | 74BC9A   7650458   0.9120057
   129 | 045180    283008   0.0337372
   130 | 087D43    556355   0.0663227
   131 | 0C842D    820269   0.0977837
   132 | 106722   1074978   0.1281474
   133 | 14270A   1320714   0.1574414
   134 | 17C4CE   1557710   0.1856935
   135 | 1B415B   1786203   0.2129320
   136 | 1E9D9C   2006428   0.2391849
   137 | 21DA7F   2218623   0.2644805
   138 | 24F8EF   2423023   0.2888469
   139 | 27F9D8   2619864   0.3123121
   140 | 2ADE24   2809380   0.3349042
   141 | 2DA6BA   2991802   0.3566506
   142 | 305481   3167361   0.3775789
   143 | 32E85B   3336283   0.3977159
   144 | 356327   3498791   0.4170884
   145 | 37C5C1   3655105   0.4357225
   146 | 3A1102   3805442   0.4536440
   147 | 3C45BD   3950013   0.4708782
   148 | 3E64C2   4089026   0.4874499
   149 | 406EDB   4222683   0.5033830
   150 | 4264CF   4351183   0.5187014
   151 | 44475E   4474718   0.5334280
   152 | 461743   4593475   0.5475849
   153 | 47D535   4707637   0.5611941
   154 | 4981E6   4817382   0.5742767
   155 | 4B1E01   4922881   0.5868531
   156 | 4CAA2D   5024301   0.5989434
   157 | 4E270A   5121802   0.6105664
   158 | 4F9535   5215541   0.6217409
   159 | 50F544   5305668   0.6324849
   160 | 5247C7   5392327   0.6428155
   161 | 538D4C   5475660   0.6527495
   162 | 54C657   5555799   0.6623029
   163 | 55F36D   5632877   0.6714913
   164 | 571509   5707017   0.6803294
   165 | 582BA4   5778340   0.6888318
   166 | 5937B0   5846960   0.6970119
   167 | 5A399D   5912989   0.7048832
   168 | 5B31D6   5976534   0.7124584
   169 | 5C20C0   6037696   0.7197495
   170 | 5D06BD   6096573   0.7267681
   171 | 5DE42B   6153259   0.7335256
   172 | 5EB964   6207844   0.7400327
   173 | 5F86BF   6260415   0.7462996
   174 | 604C8D   6311053   0.7523361
   175 | 610B1E   6359838   0.7581518
   176 | 61C2BD   6406845   0.7637554
   177 | 6273B3   6452147   0.7691559
   178 | 631E45   6495813   0.7743613
   179 | 63C2B6   6537910   0.7793796
   180 | 646144   6578500   0.7842183
   181 | 64FA2C   6617644   0.7888846
   182 | 658DA9   6655401   0.7933856
   183 | 661BF1   6691825   0.7977277
   184 | 66A539   6726969   0.8019172
   185 | 6729B5   6760885   0.8059603
   186 | 67A995   6793621   0.8098627
   187 | 682506   6825222   0.8136299
   188 | 689C36   6855734   0.8172672
   189 | 690F4E   6885198   0.8207796
   190 | 697E77   6913655   0.8241719
   191 | 69E9D7   6941143   0.8274487
   192 | 6A5194   6967700   0.8306146
   193 | 6AB5D1   6993361   0.8336736
   194 | 6B16AF   7018159   0.8366297
   195 | 6B744F   7042127   0.8394870
   196 | 6BCED0   7065296   0.8422489
   197 | 6C2650   7087696   0.8449192
   198 | 6C7AE9   7109353   0.8475009
   199 | 6CCCB8   7130296   0.8499975
   200 | 6D1BD7   7150551   0.8524121
   201 | 6D685E   7170142   0.8547475
   202 | 6DB264   7189092   0.8570065
   203 | 6DFA01   7207425   0.8591920
   204 | 6E3F4A   7225162   0.8613064
   205 | 6E8253   7242323   0.8633522
   206 | 6EC331   7258929   0.8653318
   207 | 6F01F6   7274998   0.8672473
   208 | 6F3EB6   7290550   0.8691013
   209 | 6F7980   7305600   0.8708954
   210 | 6FB266   7320166   0.8726318
   211 | 6FE977   7334263   0.8743123
   212 | 701EC3   7347907   0.8759388
   213 | 705259   7361113   0.8775131
   214 | 708447   7373895   0.8790368
   215 | 70B499   7386265   0.8805114
   216 | 70E35D   7398237   0.8819386
   217 | 71109F   7409823   0.8833197
   218 | 713C6B   7421035   0.8846563
   219 | 7166CC   7431884   0.8859496
   220 | 718FCE   7442382   0.8872011
   221 | 71B779   7452537   0.8884116
   222 | 71DDD9   7462361   0.8895828
   223 | 7202F7   7471863   0.8907155
   224 | 7226DB   7481051   0.8918108
   225 | 72498F   7489935   0.8928698
   226 | 726B1C   7498524   0.8938937
   227 | 728B88   7506824   0.8948832
   228 | 72AADC   7514844   0.8958392
   229 | 72C91F   7522591   0.8967627
   230 | 72E658   7530072   0.8976545
   231 | 73028E   7537294   0.8985155
   232 | 731DC7   7544263   0.8993462
   233 | 73380A   7550986   0.9001477
   234 | 73515C   7557468   0.9009204
   235 | 7369C4   7563716   0.9016652
   236 | 738145   7569733   0.9023825
   237 | 7397E7   7575527   0.9030732
   238 | 73ADAD   7581101   0.9037377
   239 | 73C29C   7586460   0.9043765
   240 | 73D6B9   7591609   0.9049903
   241 | 73EA09   7596553   0.9055797
   242 | 73FC8E   7601294   0.9061449
   243 | 740E4E   7605838   0.9066865
   244 | 741F4C   7610188   0.9072051
   245 | 742F8B   7614347   0.9077009
   246 | 743F0F   7618319   0.9081744
   247 | 744DDB   7622107   0.9086260
   248 | 745BF2   7625714   0.9090559
   249 | 746956   7629142   0.9094646
   250 | 74760C   7632396   0.9098525
   251 | 748215   7635477   0.9102198
   252 | 748D73   7638387   0.9105667
   253 | 749829   7641129   0.9108936
   254 | 74A239   7643705   0.9112006
   255 | 74ABA6   7646118   0.9114883
   256 | 74B470   7648368   0.9117565
   257 | 74BC9A   7650458   0.9120057
