table at $1449C6 (256 words, 24-bit)
idx(hex) hex frac(=/2^23)
  0 (00) FEDCBB -0.0088888
  1 (01) 010F79 +0.0082847
  2 (02) 00FD05 +0.0077215
  3 (03) 00EBD1 +0.0071965
  4 (04) 00DBCA +0.0067074
  5 (05) 00CCD9 +0.0062515
  6 (06) 00BEEC +0.0058265
  7 (07) 00B1F2 +0.0054305
  8 (08) 00A5D9 +0.0050613
  9 (09) 009A93 +0.0047172
 10 (0a) 009011 +0.0043966
 11 (0b) 008646 +0.0040977
 12 (0c) 007D25 +0.0038191
 13 (0d) 0074A4 +0.0035596
 14 (0e) 006CB6 +0.0033176
 15 (0f) 006552 +0.0030921
 16 (10) 005E6F +0.0028819
 17 (11) 005804 +0.0026860
 18 (12) 005208 +0.0025034
 19 (13) 004C74 +0.0023332
 20 (14) 004742 +0.0021746
 21 (15) 00426A +0.0020268
 22 (16) 003DE6 +0.0018890
 23 (17) 0039B1 +0.0017606
 24 (18) 0035C5 +0.0016409
 25 (19) 00321D +0.0015293
 26 (1a) 002EB5 +0.0014254
 27 (1b) 002B88 +0.0013285
 28 (1c) 002893 +0.0012382
 29 (1d) 0025D1 +0.0011541
 30 (1e) 00233F +0.0010756
 31 (1f) 0020D9 +0.0010024
 32 (20) 001E9E +0.0009344
 33 (21) 001C89 +0.0008708
 34 (22) 001A98 +0.0008116
 35 (23) 0018CA +0.0007565
 36 (24) 00171A +0.0007050
 37 (25) 001588 +0.0006571
 38 (26) 001411 +0.0006124
 39 (27) 0012B4 +0.0005708
 40 (28) 00116F +0.0005320
 41 (29) 00103F +0.0004958
 42 (2a) 000F25 +0.0004622
 43 (2b) 000E1D +0.0004307
 44 (2c) 000D28 +0.0004015
 45 (2d) 000C43 +0.0003742
 46 (2e) 000B6D +0.0003487
 47 (2f) 000AA6 +0.0003250
 48 (30) 0009ED +0.0003029
 49 (31) 000940 +0.0002823
 50 (32) 00089F +0.0002631
 51 (33) 000809 +0.0002452
 52 (34) 00077D +0.0002285
 53 (35) 0006FB +0.0002130
 54 (36) 000682 +0.0001986
 55 (37) 000610 +0.0001850
 56 (38) 0005A7 +0.0001725
 57 (39) 000545 +0.0001608
 58 (3a) 0004E9 +0.0001498
 59 (3b) 000493 +0.0001396
 60 (3c) 000444 +0.0001302
 61 (3d) 0003FA +0.0001214
 62 (3e) 0003B4 +0.0001130
 63 (3f) 000374 +0.0001054
 64 (40) 000338 +0.0000982
 65 (41) 000300 +0.0000916
 66 (42) 0002CC +0.0000854
 67 (43) 00029B +0.0000795
 68 (44) 00026E +0.0000741
 69 (45) 000243 +0.0000690
 70 (46) 00021C +0.0000644
 71 (47) 0001F7 +0.0000600
 72 (48) 0001D5 +0.0000559
 73 (49) 0001B5 +0.0000521
 74 (4a) 000197 +0.0000485
 75 (4b) 00017C +0.0000453
 76 (4c) 000162 +0.0000422
 77 (4d) 00014A +0.0000393
 78 (4e) 000133 +0.0000366
 79 (4f) 00011F +0.0000342
 80 (50) 00010B +0.0000318
 81 (51) 0000F9 +0.0000297
 82 (52) 0000E8 +0.0000277
 83 (53) 0000D8 +0.0000257
 84 (54) 0000CA +0.0000241
 85 (55) 0000BC +0.0000224
 86 (56) 0000AF +0.0000209
 87 (57) 0000A3 +0.0000194
 88 (58) 000098 +0.0000181
 89 (59) 00008E +0.0000169
 90 (5a) 000084 +0.0000157
 91 (5b) 00007B +0.0000147
 92 (5c) 000073 +0.0000137
 93 (5d) 00006B +0.0000128
 94 (5e) 000064 +0.0000119
 95 (5f) 00005D +0.0000111
 96 (60) 000057 +0.0000104
 97 (61) 000051 +0.0000097
 98 (62) 00004B +0.0000089
 99 (63) 000046 +0.0000083
100 (64) 000041 +0.0000077
101 (65) 00003D +0.0000073
102 (66) 000039 +0.0000068
103 (67) 000035 +0.0000063
104 (68) 000031 +0.0000058
105 (69) 00002E +0.0000055
106 (6a) 00002B +0.0000051
107 (6b) 000028 +0.0000048
108 (6c) 000025 +0.0000044
109 (6d) 000023 +0.0000042
110 (6e) 000020 +0.0000038
111 (6f) 00001E +0.0000036
112 (70) 00001C +0.0000033
113 (71) 00001A +0.0000031
114 (72) 000018 +0.0000029
115 (73) 000017 +0.0000027
116 (74) 000015 +0.0000025
117 (75) 000014 +0.0000024
118 (76) 000012 +0.0000021
119 (77) 000011 +0.0000020
120 (78) 000010 +0.0000019
121 (79) 00000F +0.0000018
122 (7a) 00000E +0.0000017
123 (7b) 00000D +0.0000015
124 (7c) 00000C +0.0000014
125 (7d) 00000B +0.0000013
126 (7e) 00000A +0.0000012
127 (7f) 00000A +0.0000012
128 (80) 000000 +0.0000000
129 (81) 00008C +0.0000167
130 (82) 000098 +0.0000181
131 (83) 0000A6 +0.0000198
132 (84) 0000B5 +0.0000216
133 (85) 0000C5 +0.0000235
134 (86) 0000D7 +0.0000256
135 (87) 0000EB +0.0000280
136 (88) 000100 +0.0000305
137 (89) 000117 +0.0000333
138 (8a) 000130 +0.0000362
139 (8b) 00014C +0.0000396
140 (8c) 00016A +0.0000432
141 (8d) 00018B +0.0000471
142 (8e) 0001AF +0.0000514
143 (8f) 0001D6 +0.0000560
144 (90) 000200 +0.0000610
145 (91) 00022E +0.0000665
146 (92) 000261 +0.0000726
147 (93) 000298 +0.0000792
148 (94) 0002D4 +0.0000863
149 (95) 000316 +0.0000942
150 (96) 00035D +0.0001026
151 (97) 0003AB +0.0001119
152 (98) 000400 +0.0001221
153 (99) 00045D +0.0001332
154 (9a) 0004C2 +0.0001452
155 (9b) 000530 +0.0001583
156 (9c) 0005A8 +0.0001726
157 (9d) 00062B +0.0001882
158 (9e) 0006BA +0.0002053
159 (9f) 000756 +0.0002239
160 (a0) 000800 +0.0002441
161 (a1) 0008B9 +0.0002662
162 (a2) 000983 +0.0002903
163 (a3) 000A60 +0.0003166
164 (a4) 000B50 +0.0003452
165 (a5) 000C56 +0.0003765
166 (a6) 000D74 +0.0004106
167 (a7) 000EAC +0.0004478
168 (a8) 001000 +0.0004883
169 (a9) 001173 +0.0005325
170 (aa) 001307 +0.0005807
171 (ab) 0014C0 +0.0006332
172 (ac) 0016A1 +0.0006906
173 (ad) 0018AD +0.0007530
174 (ae) 001AE9 +0.0008212
175 (af) 001D58 +0.0008955
176 (b0) 002000 +0.0009766
177 (b1) 0022E5 +0.0010649
178 (b2) 00260E +0.0011613
179 (b3) 002980 +0.0012665
180 (b4) 002D41 +0.0013810
181 (b5) 00315A +0.0015061
182 (b6) 0035D1 +0.0016423
183 (b7) 003AB0 +0.0017910
184 (b8) 004000 +0.0019531
185 (b9) 0045CB +0.0021299
186 (ba) 004C1C +0.0023227
187 (bb) 0052FF +0.0025328
188 (bc) 005A83 +0.0027622
189 (bd) 0062B4 +0.0030122
190 (be) 006BA2 +0.0032847
191 (bf) 007560 +0.0035820
192 (c0) 008000 +0.0039062
193 (c1) 008B96 +0.0042598
194 (c2) 009838 +0.0046453
195 (c3) 00A5FF +0.0050658
