# X:$14A800  X_14A800_cos8k_full  (8192 words)
# m18 phaser LFO quadrature COS (read at $144ED6/$145078: x:(r0+$14a800),b)
# 3 bytes/word big-endian signed 24-bit fraction = word/2^23
#  idx | hex     signed24   fraction(24-bit)
     0 | 7FFFFF   8388607   +0.9999999
     1 | 7FFFFD   8388605   +0.9999996
     2 | 7FFFF5   8388597   +0.9999987
     3 | 7FFFE9   8388585   +0.9999973
     4 | 7FFFD8   8388568   +0.9999952
     5 | 7FFFC1   8388545   +0.9999925
     6 | 7FFFA6   8388518   +0.9999893
     7 | 7FFF86   8388486   +0.9999855
     8 | 7FFF61   8388449   +0.9999810
     9 | 7FFF37   8388407   +0.9999760
    10 | 7FFF08   8388360   +0.9999704
    11 | 7FFED4   8388308   +0.9999642
    12 | 7FFE9C   8388252   +0.9999576
    13 | 7FFE5E   8388190   +0.9999502
    14 | 7FFE1B   8388123   +0.9999422
    15 | 7FFDD4   8388052   +0.9999337
    16 | 7FFD87   8387975   +0.9999245
    17 | 7FFD36   8387894   +0.9999149
    18 | 7FFCE0   8387808   +0.9999046
    19 | 7FFC84   8387716   +0.9998937
    20 | 7FFC24   8387620   +0.9998822
    21 | 7FFBBF   8387519   +0.9998702
    22 | 7FFB55   8387413   +0.9998575
    23 | 7FFAE6   8387302   +0.9998443
    24 | 7FFA72   8387186   +0.9998305
    25 | 7FF9F9   8387065   +0.9998161
    26 | 7FF97B   8386939   +0.9998010
    27 | 7FF8F8   8386808   +0.9997854
    28 | 7FF871   8386673   +0.9997693
    29 | 7FF7E4   8386532   +0.9997525
    30 | 7FF752   8386386   +0.9997351
    31 | 7FF6BC   8386236   +0.9997172
    32 | 7FF621   8386081   +0.9996988
    33 | 7FF580   8385920   +0.9996796
    34 | 7FF4DB   8385755   +0.9996599
    35 | 7FF431   8385585   +0.9996396
    36 | 7FF381   8385409   +0.9996186
    37 | 7FF2CD   8385229   +0.9995972
    38 | 7FF214   8385044   +0.9995751
    39 | 7FF156   8384854   +0.9995525
    40 | 7FF093   8384659   +0.9995292
    41 | 7FEFCC   8384460   +0.9995055
    42 | 7FEEFF   8384255   +0.9994811
    43 | 7FEE2D   8384045   +0.9994560
    44 | 7FED57   8383831   +0.9994305
    45 | 7FEC7B   8383611   +0.9994043
    46 | 7FEB9B   8383387   +0.9993776
    47 | 7FEAB5   8383157   +0.9993502
    48 | 7FE9CB   8382923   +0.9993223
    49 | 7FE8DB   8382683   +0.9992937
    50 | 7FE7E7   8382439   +0.9992646
    51 | 7FE6EE   8382190   +0.9992349
    52 | 7FE5F0   8381936   +0.9992046
    53 | 7FE4ED   8381677   +0.9991738
    54 | 7FE3E5   8381413   +0.9991423
    55 | 7FE2D8   8381144   +0.9991102
    56 | 7FE1C6   8380870   +0.9990776
    57 | 7FE0B0   8380592   +0.9990444
    58 | 7FDF94   8380308   +0.9990106
    59 | 7FDE73   8380019   +0.9989761
    60 | 7FDD4E   8379726   +0.9989412
    61 | 7FDC23   8379427   +0.9989055
    62 | 7FDAF4   8379124   +0.9988694
    63 | 7FD9C0   8378816   +0.9988327
    64 | 7FD887   8378503   +0.9987954
    65 | 7FD748   8378184   +0.9987574
    66 | 7FD605   8377861   +0.9987189
    67 | 7FD4BD   8377533   +0.9986798
    68 | 7FD370   8377200   +0.9986401
    69 | 7FD21E   8376862   +0.9985998
    70 | 7FD0C8   8376520   +0.9985590
    71 | 7FCF6C   8376172   +0.9985175
    72 | 7FCE0B   8375819   +0.9984754
    73 | 7FCCA6   8375462   +0.9984329
    74 | 7FCB3B   8375099   +0.9983896
    75 | 7FC9CC   8374732   +0.9983459
    76 | 7FC857   8374359   +0.9983014
    77 | 7FC6DE   8373982   +0.9982564
    78 | 7FC560   8373600   +0.9982109
    79 | 7FC3DD   8373213   +0.9981648
    80 | 7FC255   8372821   +0.9981180
    81 | 7FC0C8   8372424   +0.9980707
    82 | 7FBF36   8372022   +0.9980228
    83 | 7FBD9F   8371615   +0.9979743
    84 | 7FBC03   8371203   +0.9979252
    85 | 7FBA62   8370786   +0.9978755
    86 | 7FB8BD   8370365   +0.9978253
    87 | 7FB712   8369938   +0.9977744
    88 | 7FB563   8369507   +0.9977230
    89 | 7FB3AE   8369070   +0.9976709
    90 | 7FB1F5   8368629   +0.9976183
    91 | 7FB037   8368183   +0.9975652
    92 | 7FAE74   8367732   +0.9975114
    93 | 7FACAB   8367275   +0.9974569
    94 | 7FAADE   8366814   +0.9974020
    95 | 7FA90D   8366349   +0.9973465
    96 | 7FA736   8365878   +0.9972904
    97 | 7FA55A   8365402   +0.9972336
    98 | 7FA379   8364921   +0.9971763
    99 | 7FA194   8364436   +0.9971185
   100 | 7F9FA9   8363945   +0.9970599
   101 | 7F9DBA   8363450   +0.9970009
   102 | 7F9BC5   8362949   +0.9969412
   103 | 7F99CC   8362444   +0.9968810
   104 | 7F97CE   8361934   +0.9968202
   105 | 7F95CB   8361419   +0.9967588
   106 | 7F93C3   8360899   +0.9966968
   107 | 7F91B6   8360374   +0.9966342
   108 | 7F8FA4   8359844   +0.9965711
   109 | 7F8D8D   8359309   +0.9965073
   110 | 7F8B71   8358769   +0.9964429
   111 | 7F8951   8358225   +0.9963781
   112 | 7F872B   8357675   +0.9963125
   113 | 7F8500   8357120   +0.9962463
   114 | 7F82D1   8356561   +0.9961797
   115 | 7F809D   8355997   +0.9961125
   116 | 7F7E64   8355428   +0.9960446
   117 | 7F7C25   8354853   +0.9959761
   118 | 7F79E2   8354274   +0.9959071
   119 | 7F779A   8353690   +0.9958375
   120 | 7F754E   8353102   +0.9957674
   121 | 7F72FC   8352508   +0.9956965
   122 | 7F70A5   8351909   +0.9956251
   123 | 7F6E49   8351305   +0.9955531
   124 | 7F6BE9   8350697   +0.9954807
   125 | 7F6983   8350083   +0.9954075
   126 | 7F6719   8349465   +0.9953338
   127 | 7F64AA   8348842   +0.9952595
   128 | 7F6236   8348214   +0.9951847
   129 | 7F5FBC   8347580   +0.9951091
   130 | 7F5D3E   8346942   +0.9950330
   131 | 7F5ABC   8346300   +0.9949565
   132 | 7F5834   8345652   +0.9948792
   133 | 7F55A7   8344999   +0.9948014
   134 | 7F5315   8344341   +0.9947230
   135 | 7F507F   8343679   +0.9946440
   136 | 7F4DE3   8343011   +0.9945644
   137 | 7F4B43   8342339   +0.9944843
   138 | 7F489E   8341662   +0.9944036
   139 | 7F45F3   8340979   +0.9943222
   140 | 7F4344   8340292   +0.9942403
   141 | 7F4090   8339600   +0.9941578
   142 | 7F3DD7   8338903   +0.9940747
   143 | 7F3B1A   8338202   +0.9939911
   144 | 7F3857   8337495   +0.9939069
   145 | 7F358F   8336783   +0.9938220
   146 | 7F32C3   8336067   +0.9937366
   147 | 7F2FF1   8335345   +0.9936506
   148 | 7F2D1B   8334619   +0.9935640
   149 | 7F2A40   8333888   +0.9934769
   150 | 7F2760   8333152   +0.9933891
   151 | 7F247B   8332411   +0.9933008
   152 | 7F2191   8331665   +0.9932119
   153 | 7F1EA2   8330914   +0.9931223
   154 | 7F1BAE   8330158   +0.9930322
   155 | 7F18B5   8329397   +0.9929415
   156 | 7F15B8   8328632   +0.9928503
   157 | 7F12B5   8327861   +0.9927584
   158 | 7F0FAE   8327086   +0.9926660
   159 | 7F0CA2   8326306   +0.9925730
   160 | 7F0991   8325521   +0.9924794
   161 | 7F067B   8324731   +0.9923853
   162 | 7F0360   8323936   +0.9922905
   163 | 7F0040   8323136   +0.9921951
   164 | 7EFD1B   8322331   +0.9920992
   165 | 7EF9F2   8321522   +0.9920027
   166 | 7EF6C3   8320707   +0.9919056
   167 | 7EF390   8319888   +0.9918079
   168 | 7EF057   8319063   +0.9917096
   169 | 7EED1A   8318234   +0.9916108
   170 | 7EE9D8   8317400   +0.9915113
   171 | 7EE691   8316561   +0.9914113
   172 | 7EE345   8315717   +0.9913107
   173 | 7EDFF4   8314868   +0.9912095
   174 | 7EDC9F   8314015   +0.9911078
   175 | 7ED944   8313156   +0.9910054
   176 | 7ED5E5   8312293   +0.9909025
   177 | 7ED280   8311424   +0.9907990
   178 | 7ECF17   8310551   +0.9906949
   179 | 7ECBA9   8309673   +0.9905902
   180 | 7EC836   8308790   +0.9904850
   181 | 7EC4BE   8307902   +0.9903791
   182 | 7EC141   8307009   +0.9902726
   183 | 7EBDC0   8306112   +0.9901657
   184 | 7EBA39   8305209   +0.9900581
   185 | 7EB6AE   8304302   +0.9899499
   186 | 7EB31D   8303389   +0.9898411
   187 | 7EAF88   8302472   +0.9897318
   188 | 7EABEE   8301550   +0.9896219
   189 | 7EA84F   8300623   +0.9895114
   190 | 7EA4AB   8299691   +0.9894003
   191 | 7EA103   8298755   +0.9892887
   192 | 7E9D55   8297813   +0.9891764
   193 | 7E99A2   8296866   +0.9890635
   194 | 7E95EB   8295915   +0.9889501
   195 | 7E922F   8294959   +0.9888362
   196 | 7E8E6E   8293998   +0.9887216
   197 | 7E8AA8   8293032   +0.9886065
   198 | 7E86DD   8292061   +0.9884907
   199 | 7E830D   8291085   +0.9883744
   200 | 7E7F38   8290104   +0.9882574
   201 | 7E7B5F   8289119   +0.9881400
   202 | 7E7780   8288128   +0.9880219
   203 | 7E739D   8287133   +0.9879032
   204 | 7E6FB5   8286133   +0.9877840
   205 | 7E6BC8   8285128   +0.9876642
   206 | 7E67D6   8284118   +0.9875438
   207 | 7E63DF   8283103   +0.9874228
   208 | 7E5FE4   8282084   +0.9873013
   209 | 7E5BE3   8281059   +0.9871792
   210 | 7E57DE   8280030   +0.9870565
   211 | 7E53D3   8278995   +0.9869331
   212 | 7E4FC4   8277956   +0.9868093
   213 | 7E4BB0   8276912   +0.9866848
   214 | 7E4797   8275863   +0.9865597
   215 | 7E437A   8274810   +0.9864342
   216 | 7E3F57   8273751   +0.9863080
   217 | 7E3B30   8272688   +0.9861813
   218 | 7E3703   8271619   +0.9860538
   219 | 7E32D2   8270546   +0.9859259
   220 | 7E2E9C   8269468   +0.9857974
   221 | 7E2A61   8268385   +0.9856683
   222 | 7E2621   8267297   +0.9855386
   223 | 7E21DC   8266204   +0.9854083
   224 | 7E1D93   8265107   +0.9852775
   225 | 7E1945   8264005   +0.9851462
   226 | 7E14F1   8262897   +0.9850141
   227 | 7E1099   8261785   +0.9848815
   228 | 7E0C3C   8260668   +0.9847484
   229 | 7E07DA   8259546   +0.9846146
   230 | 7E0374   8258420   +0.9844804
   231 | 7DFF08   8257288   +0.9843454
   232 | 7DFA98   8256152   +0.9842100
   233 | 7DF622   8255010   +0.9840739
