# P:$141A80  powers_of_2  (24 words)
# powers of two ramp (LFO mult index)
#  idx | hex     signed24   fraction(24-bit)
     0 | 004000     16384   0.0019531
     1 | 008000     32768   0.0039062
     2 | 010000     65536   0.0078125
     3 | 018000     98304   0.0117188
     4 | 020000    131072   0.0156250
     5 | 028000    163840   0.0195312
     6 | 030000    196608   0.0234375
     7 | 040000    262144   0.0312500
     8 | 050000    327680   0.0390625
     9 | 060000    393216   0.0468750
    10 | 070000    458752   0.0546875
    11 | 080000    524288   0.0625000
    12 | 0A0000    655360   0.0781250
    13 | 0C0000    786432   0.0937500
    14 | 0E0000    917504   0.1093750
    15 | 100000   1048576   0.1250000
    16 | 140000   1310720   0.1562500
    17 | 180000   1572864   0.1875000
    18 | 1C0000   1835008   0.2187500
    19 | 200000   2097152   0.2500000
    20 | 280000   2621440   0.3125000
    21 | 300000   3145728   0.3750000
    22 | 380000   3670016   0.4375000
    23 | 400000   4194304   0.5000000
