# P:$141B18  env_shape_tbl_F  (128 words)
# env curve table F (used at P:$04B6..0536 spread)
#  idx | hex     signed24   fraction(24-bit)
     0 | 7FFFFF   8388607   0.9999999
     1 | 7FFFFF   8388607   0.9999999
     2 | 7FFFFF   8388607   0.9999999
     3 | 7FFFFF   8388607   0.9999999
     4 | 7FFFFF   8388607   0.9999999
     5 | 7FFFFF   8388607   0.9999999
     6 | 7FFFFF   8388607   0.9999999
     7 | 7FFFFF   8388607   0.9999999
     8 | 7FFFFF   8388607   0.9999999
     9 | 7FFFFF   8388607   0.9999999
    10 | 7FFFFF   8388607   0.9999999
    11 | 7FFFFF   8388607   0.9999999
    12 | 7FFFFF   8388607   0.9999999
    13 | 7FFFFF   8388607   0.9999999
    14 | 7FFFFF   8388607   0.9999999
    15 | 7FFFFF   8388607   0.9999999
    16 | 7FFFFF   8388607   0.9999999
    17 | 7FFFFF   8388607   0.9999999
    18 | 7FFFFF   8388607   0.9999999
    19 | 7FFFFF   8388607   0.9999999
    20 | 7FFFFF   8388607   0.9999999
    21 | 7FFFFF   8388607   0.9999999
    22 | 7FFFFF   8388607   0.9999999
    23 | 7FFFFF   8388607   0.9999999
    24 | 7FFFFF   8388607   0.9999999
    25 | 7FFFFF   8388607   0.9999999
    26 | 7FFFFF   8388607   0.9999999
    27 | 7FFFFE   8388606   0.9999998
    28 | 7FFFFE   8388606   0.9999998
    29 | 7FFFFE   8388606   0.9999998
    30 | 7FFFFE   8388606   0.9999998
    31 | 7FFFFE   8388606   0.9999998
    32 | 7FFFFE   8388606   0.9999998
    33 | 7FFFFE   8388606   0.9999998
    34 | 7FFFFE   8388606   0.9999998
    35 | 7FFFFE   8388606   0.9999998
    36 | 7FFFFE   8388606   0.9999998
    37 | 7FFFFE   8388606   0.9999998
    38 | 7FFFFE   8388606   0.9999998
    39 | 7FFFFE   8388606   0.9999998
    40 | 7FFFFE   8388606   0.9999998
    41 | 7FFFFE   8388606   0.9999998
    42 | 7FFFFE   8388606   0.9999998
    43 | 7FFFFE   8388606   0.9999998
    44 | 7FFFFE   8388606   0.9999998
    45 | 7FFFFE   8388606   0.9999998
    46 | 7FFFFE   8388606   0.9999998
    47 | 7FFFFE   8388606   0.9999998
    48 | 7FFFFE   8388606   0.9999998
    49 | 7FFFFE   8388606   0.9999998
    50 | 7FFFFE   8388606   0.9999998
    51 | 7FFFFE   8388606   0.9999998
    52 | 7FFFFE   8388606   0.9999998
    53 | 7FFFFE   8388606   0.9999998
    54 | 7FFFFE   8388606   0.9999998
    55 | 7FFFFE   8388606   0.9999998
    56 | 7FFFFE   8388606   0.9999998
    57 | 7FFFFE   8388606   0.9999998
    58 | 7FFFFE   8388606   0.9999998
    59 | 7FFFFE   8388606   0.9999998
    60 | 7FFFFE   8388606   0.9999998
    61 | 7FFFFE   8388606   0.9999998
    62 | 7FFFFE   8388606   0.9999998
    63 | 7FFFFE   8388606   0.9999998
    64 | 7FFFFE   8388606   0.9999998
    65 | 7FFFFE   8388606   0.9999998
    66 | 7FFFFE   8388606   0.9999998
    67 | 7FFFFE   8388606   0.9999998
    68 | 7FFFFE   8388606   0.9999998
    69 | 7FFFFE   8388606   0.9999998
    70 | 7FFFFE   8388606   0.9999998
    71 | 7FFFFE   8388606   0.9999998
    72 | 7FFFFE   8388606   0.9999998
    73 | 7FFFFE   8388606   0.9999998
    74 | 7FFFFD   8388605   0.9999996
    75 | 7FFFFD   8388605   0.9999996
    76 | 7FFFFD   8388605   0.9999996
