# P:$141CA7  filter_coeff_base_tbl  (1201 words)
# FILTER: cutoff->coefficient table, indexed by env-modulated BASE x $4AF>>24 (0..1199); used at P:$058B kernel
#  idx | hex     signed24   fraction(24-bit)
     0 | 7FFFAB   8388523   0.9999899
     1 | 7FFFAA   8388522   0.9999897
     2 | 7FFFA9   8388521   0.9999896
     3 | 7FFFA8   8388520   0.9999895
     4 | 7FFFA7   8388519   0.9999894
     5 | 7FFFA6   8388518   0.9999893
     6 | 7FFFA5   8388517   0.9999892
     7 | 7FFFA4   8388516   0.9999890
     8 | 7FFFA3   8388515   0.9999889
     9 | 7FFFA2   8388514   0.9999888
    10 | 7FFFA1   8388513   0.9999887
    11 | 7FFFA0   8388512   0.9999886
    12 | 7FFF9F   8388511   0.9999884
    13 | 7FFF9E   8388510   0.9999883
    14 | 7FFF9D   8388509   0.9999882
    15 | 7FFF9C   8388508   0.9999881
    16 | 7FFF9B   8388507   0.9999880
    17 | 7FFF9A   8388506   0.9999878
    18 | 7FFF99   8388505   0.9999877
    19 | 7FFF98   8388504   0.9999876
    20 | 7FFF96   8388502   0.9999874
    21 | 7FFF95   8388501   0.9999872
    22 | 7FFF94   8388500   0.9999871
    23 | 7FFF93   8388499   0.9999870
    24 | 7FFF92   8388498   0.9999869
    25 | 7FFF91   8388497   0.9999868
    26 | 7FFF8F   8388495   0.9999865
    27 | 7FFF8E   8388494   0.9999864
    28 | 7FFF8D   8388493   0.9999863
    29 | 7FFF8C   8388492   0.9999862
    30 | 7FFF8A   8388490   0.9999859
    31 | 7FFF89   8388489   0.9999858
    32 | 7FFF88   8388488   0.9999857
    33 | 7FFF86   8388486   0.9999855
    34 | 7FFF85   8388485   0.9999853
    35 | 7FFF84   8388484   0.9999852
    36 | 7FFF82   8388482   0.9999850
    37 | 7FFF81   8388481   0.9999849
    38 | 7FFF80   8388480   0.9999847
    39 | 7FFF7E   8388478   0.9999845
    40 | 7FFF7D   8388477   0.9999844
    41 | 7FFF7B   8388475   0.9999841
    42 | 7FFF7A   8388474   0.9999840
    43 | 7FFF79   8388473   0.9999839
    44 | 7FFF77   8388471   0.9999837
    45 | 7FFF76   8388470   0.9999835
    46 | 7FFF74   8388468   0.9999833
    47 | 7FFF73   8388467   0.9999832
    48 | 7FFF71   8388465   0.9999830
    49 | 7FFF6F   8388463   0.9999827
    50 | 7FFF6E   8388462   0.9999826
    51 | 7FFF6C   8388460   0.9999824
    52 | 7FFF6B   8388459   0.9999822
    53 | 7FFF69   8388457   0.9999820
    54 | 7FFF67   8388455   0.9999818
    55 | 7FFF66   8388454   0.9999816
    56 | 7FFF64   8388452   0.9999814
    57 | 7FFF62   8388450   0.9999812
    58 | 7FFF61   8388449   0.9999810
    59 | 7FFF5F   8388447   0.9999808
    60 | 7FFF5D   8388445   0.9999806
    61 | 7FFF5B   8388443   0.9999803
    62 | 7FFF5A   8388442   0.9999802
    63 | 7FFF58   8388440   0.9999800
    64 | 7FFF56   8388438   0.9999797
    65 | 7FFF54   8388436   0.9999795
    66 | 7FFF52   8388434   0.9999793
    67 | 7FFF50   8388432   0.9999790
    68 | 7FFF4E   8388430   0.9999788
    69 | 7FFF4C   8388428   0.9999785
    70 | 7FFF4B   8388427   0.9999784
    71 | 7FFF49   8388425   0.9999782
    72 | 7FFF47   8388423   0.9999779
    73 | 7FFF45   8388421   0.9999777
    74 | 7FFF43   8388419   0.9999775
    75 | 7FFF40   8388416   0.9999771
    76 | 7FFF3E   8388414   0.9999769
    77 | 7FFF3C   8388412   0.9999766
    78 | 7FFF3A   8388410   0.9999764
    79 | 7FFF38   8388408   0.9999762
    80 | 7FFF36   8388406   0.9999759
    81 | 7FFF34   8388404   0.9999757
    82 | 7FFF31   8388401   0.9999753
    83 | 7FFF2F   8388399   0.9999751
    84 | 7FFF2D   8388397   0.9999748
    85 | 7FFF2B   8388395   0.9999746
    86 | 7FFF28   8388392   0.9999743
    87 | 7FFF26   8388390   0.9999740
    88 | 7FFF23   8388387   0.9999737
    89 | 7FFF21   8388385   0.9999734
    90 | 7FFF1F   8388383   0.9999732
    91 | 7FFF1C   8388380   0.9999728
    92 | 7FFF1A   8388378   0.9999726
    93 | 7FFF17   8388375   0.9999722
    94 | 7FFF15   8388373   0.9999720
    95 | 7FFF12   8388370   0.9999716
    96 | 7FFF10   8388368   0.9999714
    97 | 7FFF0D   8388365   0.9999710
    98 | 7FFF0A   8388362   0.9999707
    99 | 7FFF08   8388360   0.9999704
   100 | 7FFF05   8388357   0.9999701
   101 | 7FFF02   8388354   0.9999697
   102 | 7FFEFF   8388351   0.9999694
   103 | 7FFEFD   8388349   0.9999691
   104 | 7FFEFA   8388346   0.9999688
   105 | 7FFEF7   8388343   0.9999684
   106 | 7FFEF4   8388340   0.9999681
   107 | 7FFEF1   8388337   0.9999677
   108 | 7FFEEE   8388334   0.9999673
   109 | 7FFEEB   8388331   0.9999670
   110 | 7FFEE8   8388328   0.9999666
   111 | 7FFEE5   8388325   0.9999663
   112 | 7FFEE2   8388322   0.9999659
   113 | 7FFEDF   8388319   0.9999655
   114 | 7FFEDC   8388316   0.9999652
   115 | 7FFED9   8388313   0.9999648
   116 | 7FFED5   8388309   0.9999644
   117 | 7FFED2   8388306   0.9999640
   118 | 7FFECF   8388303   0.9999636
   119 | 7FFECB   8388299   0.9999632
   120 | 7FFEC8   8388296   0.9999628
   121 | 7FFEC5   8388293   0.9999624
   122 | 7FFEC1   8388289   0.9999620
   123 | 7FFEBE   8388286   0.9999616
   124 | 7FFEBA   8388282   0.9999611
   125 | 7FFEB7   8388279   0.9999608
   126 | 7FFEB3   8388275   0.9999603
   127 | 7FFEB0   8388272   0.9999599
   128 | 7FFEAC   8388268   0.9999595
   129 | 7FFEA8   8388264   0.9999590
   130 | 7FFEA4   8388260   0.9999585
   131 | 7FFEA1   8388257   0.9999582
   132 | 7FFE9D   8388253   0.9999577
   133 | 7FFE99   8388249   0.9999572
   134 | 7FFE95   8388245   0.9999567
   135 | 7FFE91   8388241   0.9999563
   136 | 7FFE8D   8388237   0.9999558
   137 | 7FFE89   8388233   0.9999553
   138 | 7FFE85   8388229   0.9999548
   139 | 7FFE81   8388225   0.9999543
   140 | 7FFE7D   8388221   0.9999539
   141 | 7FFE78   8388216   0.9999533
   142 | 7FFE74   8388212   0.9999528
   143 | 7FFE70   8388208   0.9999523
   144 | 7FFE6C   8388204   0.9999518
   145 | 7FFE67   8388199   0.9999512
