# P:$142158  filter_tbl_142158  (1600 words)
# FILTER stage2 table, indexed 0..1599 (min(idx,$63F)); used at P:$0630/0666/0700/072D
#  idx | hex     signed24   fraction(24-bit)
     0 | 000880      2176   0.0002594
     1 | 00088C      2188   0.0002608
     2 | 000898      2200   0.0002623
     3 | 0008A4      2212   0.0002637
     4 | 0008B0      2224   0.0002651
     5 | 0008BC      2236   0.0002666
     6 | 0008C8      2248   0.0002680
     7 | 0008D4      2260   0.0002694
     8 | 0008E1      2273   0.0002710
     9 | 0008ED      2285   0.0002724
    10 | 0008F9      2297   0.0002738
    11 | 000906      2310   0.0002754
    12 | 000912      2322   0.0002768
    13 | 00091F      2335   0.0002784
    14 | 00092C      2348   0.0002799
    15 | 000939      2361   0.0002815
    16 | 000945      2373   0.0002829
    17 | 000952      2386   0.0002844
    18 | 00095F      2399   0.0002860
    19 | 00096C      2412   0.0002875
    20 | 000979      2425   0.0002891
    21 | 000986      2438   0.0002906
    22 | 000994      2452   0.0002923
    23 | 0009A1      2465   0.0002939
    24 | 0009AE      2478   0.0002954
    25 | 0009BC      2492   0.0002971
    26 | 0009C9      2505   0.0002986
    27 | 0009D7      2519   0.0003003
    28 | 0009E5      2533   0.0003020
    29 | 0009F2      2546   0.0003035
    30 | 000A00      2560   0.0003052
    31 | 000A0E      2574   0.0003068
    32 | 000A1C      2588   0.0003085
    33 | 000A2A      2602   0.0003102
    34 | 000A38      2616   0.0003119
    35 | 000A47      2631   0.0003136
    36 | 000A55      2645   0.0003153
    37 | 000A63      2659   0.0003170
    38 | 000A72      2674   0.0003188
    39 | 000A80      2688   0.0003204
    40 | 000A8F      2703   0.0003222
    41 | 000A9D      2717   0.0003239
    42 | 000AAC      2732   0.0003257
    43 | 000ABB      2747   0.0003275
    44 | 000ACA      2762   0.0003293
    45 | 000AD9      2777   0.0003310
    46 | 000AE8      2792   0.0003328
    47 | 000AF7      2807   0.0003346
    48 | 000B06      2822   0.0003364
    49 | 000B16      2838   0.0003383
    50 | 000B25      2853   0.0003401
    51 | 000B35      2869   0.0003420
    52 | 000B44      2884   0.0003438
    53 | 000B54      2900   0.0003457
    54 | 000B64      2916   0.0003476
    55 | 000B73      2931   0.0003494
    56 | 000B83      2947   0.0003513
    57 | 000B93      2963   0.0003532
    58 | 000BA3      2979   0.0003551
    59 | 000BB4      2996   0.0003572
    60 | 000BC4      3012   0.0003591
    61 | 000BD4      3028   0.0003610
    62 | 000BE5      3045   0.0003630
    63 | 000BF5      3061   0.0003649
    64 | 000C06      3078   0.0003669
    65 | 000C17      3095   0.0003690
    66 | 000C27      3111   0.0003709
    67 | 000C38      3128   0.0003729
    68 | 000C49      3145   0.0003749
    69 | 000C5A      3162   0.0003769
    70 | 000C6B      3179   0.0003790
    71 | 000C7D      3197   0.0003811
    72 | 000C8E      3214   0.0003831
    73 | 000CA0      3232   0.0003853
    74 | 000CB1      3249   0.0003873
    75 | 000CC3      3267   0.0003895
    76 | 000CD4      3284   0.0003915
    77 | 000CE6      3302   0.0003936
    78 | 000CF8      3320   0.0003958
    79 | 000D0A      3338   0.0003979
    80 | 000D1C      3356   0.0004001
    81 | 000D2F      3375   0.0004023
    82 | 000D41      3393   0.0004045
    83 | 000D53      3411   0.0004066
    84 | 000D66      3430   0.0004089
    85 | 000D79      3449   0.0004112
    86 | 000D8B      3467   0.0004133
    87 | 000D9E      3486   0.0004156
    88 | 000DB1      3505   0.0004178
    89 | 000DC4      3524   0.0004201
    90 | 000DD7      3543   0.0004224
    91 | 000DEA      3562   0.0004246
    92 | 000DFE      3582   0.0004270
    93 | 000E11      3601   0.0004293
    94 | 000E25      3621   0.0004317
    95 | 000E38      3640   0.0004339
    96 | 000E4C      3660   0.0004363
    97 | 000E60      3680   0.0004387
    98 | 000E74      3700   0.0004411
    99 | 000E88      3720   0.0004435
   100 | 000E9C      3740   0.0004458
   101 | 000EB1      3761   0.0004483
   102 | 000EC5      3781   0.0004507
   103 | 000EDA      3802   0.0004532
   104 | 000EEE      3822   0.0004556
   105 | 000F03      3843   0.0004581
   106 | 000F18      3864   0.0004606
   107 | 000F2D      3885   0.0004631
   108 | 000F42      3906   0.0004656
   109 | 000F57      3927   0.0004681
   110 | 000F6C      3948   0.0004706
   111 | 000F82      3970   0.0004733
   112 | 000F97      3991   0.0004758
   113 | 000FAD      4013   0.0004784
   114 | 000FC3      4035   0.0004810
   115 | 000FD9      4057   0.0004836
   116 | 000FEF      4079   0.0004863
   117 | 001005      4101   0.0004889
   118 | 00101B      4123   0.0004915
   119 | 001032      4146   0.0004942
   120 | 001048      4168   0.0004969
   121 | 00105F      4191   0.0004996
   122 | 001076      4214   0.0005023
   123 | 00108C      4236   0.0005050
   124 | 0010A3      4259   0.0005077
   125 | 0010BB      4283   0.0005106
   126 | 0010D2      4306   0.0005133
   127 | 0010E9      4329   0.0005161
   128 | 001101      4353   0.0005189
   129 | 001118      4376   0.0005217
   130 | 001130      4400   0.0005245
   131 | 001148      4424   0.0005274
   132 | 001160      4448   0.0005302
   133 | 001178      4472   0.0005331
   134 | 001190      4496   0.0005360
   135 | 0011A9      4521   0.0005389
   136 | 0011C1      4545   0.0005418
   137 | 0011DA      4570   0.0005448
   138 | 0011F3      4595   0.0005478
   139 | 00120C      4620   0.0005507
   140 | 001225      4645   0.0005537
   141 | 00123E      4670   0.0005567
   142 | 001258      4696   0.0005598
   143 | 001271      4721   0.0005628
   144 | 00128B      4747   0.0005659
   145 | 0012A4      4772   0.0005689
   146 | 0012BE      4798   0.0005720
   147 | 0012D8      4824   0.0005751
   148 | 0012F3      4851   0.0005783
   149 | 00130D      4877   0.0005814
   150 | 001327      4903   0.0005845
   151 | 001342      4930   0.0005877
   152 | 00135D      4957   0.0005909
   153 | 001378      4984   0.0005941
   154 | 001393      5011   0.0005974
   155 | 0013AE      5038   0.0006006
   156 | 0013C9      5065   0.0006038
   157 | 0013E5      5093   0.0006071
   158 | 001401      5121   0.0006105
   159 | 00141C      5148   0.0006137
   160 | 001438      5176   0.0006170
   161 | 001454      5204   0.0006204
   162 | 001471      5233   0.0006238
   163 | 00148D      5261   0.0006272
   164 | 0014AA      5290   0.0006306
   165 | 0014C6      5318   0.0006340
   166 | 0014E3      5347   0.0006374
   167 | 001500      5376   0.0006409
   168 | 00151D      5405   0.0006443
   169 | 00153B      5435   0.0006479
   170 | 001558      5464   0.0006514
   171 | 001576      5494   0.0006549
   172 | 001594      5524   0.0006585
   173 | 0015B2      5554   0.0006621
   174 | 0015D0      5584   0.0006657
   175 | 0015EE      5614   0.0006692
   176 | 00160D      5645   0.0006729
   177 | 00162B      5675   0.0006765
   178 | 00164A      5706   0.0006802
   179 | 001669      5737   0.0006839
   180 | 001688      5768   0.0006876
   181 | 0016A8      5800   0.0006914
   182 | 0016C7      5831   0.0006951
   183 | 0016E7      5863   0.0006989
   184 | 001707      5895   0.0007027
   185 | 001727      5927   0.0007066
   186 | 001747      5959   0.0007104
   187 | 001767      5991   0.0007142
   188 | 001788      6024   0.0007181
   189 | 0017A8      6056   0.0007219
