# P:$143C06  kernel_tbl_143C06  (911 words)
# kernel tbl: P:$0660/068C region (gain/env), DSP2 loader ref P:$1114C3
#  idx | hex     signed24   fraction(24-bit)
     0 | 00017C       380   0.0000453
     1 | 00018B       395   0.0000471
     2 | 00019B       411   0.0000490
     3 | 0001AB       427   0.0000509
     4 | 0001BC       444   0.0000529
     5 | 0001CE       462   0.0000551
     6 | 0001E0       480   0.0000572
     7 | 0001F3       499   0.0000595
     8 | 000207       519   0.0000619
     9 | 00021B       539   0.0000643
    10 | 000231       561   0.0000669
    11 | 000247       583   0.0000695
    12 | 00025E       606   0.0000722
    13 | 000276       630   0.0000751
    14 | 00028F       655   0.0000781
    15 | 0002A9       681   0.0000812
    16 | 0002C4       708   0.0000844
    17 | 0002E0       736   0.0000877
    18 | 0002FD       765   0.0000912
    19 | 00031B       795   0.0000948
    20 | 00033B       827   0.0000986
    21 | 00035C       860   0.0001025
    22 | 00037E       894   0.0001066
    23 | 0003A1       929   0.0001107
    24 | 0003C6       966   0.0001152
    25 | 0003EC      1004   0.0001197
    26 | 000414      1044   0.0001245
    27 | 00043D      1085   0.0001293
    28 | 000468      1128   0.0001345
    29 | 000495      1173   0.0001398
    30 | 0004C3      1219   0.0001453
    31 | 0004F4      1268   0.0001512
    32 | 000526      1318   0.0001571
    33 | 00055A      1370   0.0001633
    34 | 000590      1424   0.0001698
    35 | 0005C9      1481   0.0001765
    36 | 000604      1540   0.0001836
    37 | 000641      1601   0.0001909
    38 | 000680      1664   0.0001984
    39 | 0006C2      1730   0.0002062
    40 | 000706      1798   0.0002143
    41 | 00074E      1870   0.0002229
    42 | 000798      1944   0.0002317
    43 | 0007E5      2021   0.0002409
    44 | 000835      2101   0.0002505
    45 | 000888      2184   0.0002604
    46 | 0008DE      2270   0.0002706
    47 | 000938      2360   0.0002813
    48 | 000996      2454   0.0002925
    49 | 0009F7      2551   0.0003041
    50 | 000A5C      2652   0.0003161
    51 | 000AC5      2757   0.0003287
    52 | 000B32      2866   0.0003417
    53 | 000BA4      2980   0.0003552
    54 | 000C1A      3098   0.0003693
    55 | 000C95      3221   0.0003840
    56 | 000D14      3348   0.0003991
    57 | 000D99      3481   0.0004150
    58 | 000E23      3619   0.0004314
