# P:$144446  filter_div_table_2  (128 words)
# FILTER: div table 2, indexed by WIDTH x $80>>24 (0..127); used at P:$057F kernel
#  idx | hex     signed24   fraction(24-bit)
     0 | 0438FB    276731   0.0329889
     1 | 047522    292130   0.0348246
     2 | 04B4A1    308385   0.0367624
     3 | 04F7AA    325546   0.0388081
     4 | 053E6D    343661   0.0409676
     5 | 058920    362784   0.0432472
     6 | 05D7FB    382971   0.0456537
     7 | 062B39    404281   0.0481941
     8 | 06831A    426778   0.0508759
     9 | 06DFDE    450526   0.0537069
    10 | 0741CB    475595   0.0566953
    11 | 07A92C    502060   0.0598502
    12 | 08164D    529997   0.0631806
    13 | 088981    559489   0.0666963
    14 | 09031E    590622   0.0704076
    15 | 09837F    623487   0.0743254
    16 | 0A0B05    658181   0.0784613
    17 | 0A9A16    694806   0.0828273
    18 | 0B311C    733468   0.0874362
    19 | 0BD08A    774282   0.0923016
    20 | 0C78D7    817367   0.0974377
    21 | 0D2A82    862850   0.1028597
    22 | 0DE60F    910863   0.1085833
    23 | 0EAC0C    961548   0.1146255
    24 | 0F7D0E   1015054   0.1210039
    25 | 1059B1   1071537   0.1277372
    26 | 11429B   1131163   0.1348451
    27 | 12387A   1194106   0.1423485
    28 | 133C09   1260553   0.1502696
    29 | 144E08   1330696   0.1586313
    30 | 156F47   1404743   0.1674584
    31 | 16A09E   1482910   0.1767766
    32 | 17E2F3   1565427   0.1866134
    33 | 193738   1652536   0.1969976
    34 | 1A9E6B   1744491   0.2079595
    35 | 1C199C   1841564   0.2195315
    36 | 1DA9E6   1944038   0.2317474
    37 | 1F5076   2052214   0.2446430
    38 | 210E8A   2166410   0.2582562
    39 | 22E570   2286960   0.2726269
    40 | 24D68B   2414219   0.2877973
    41 | 26E34E   2548558   0.3038118
    42 | 290D45   2690373   0.3207175
    43 | 2B5610   2840080   0.3385639
    44 | 2DBF64   2998116   0.3574033
    45 | 304B13   3164947   0.3772911
    46 | 32FB05   3341061   0.3982855
    47 | 35D13F   3526975   0.4204482
    48 | 38CFE2   3723234   0.4438441
    49 | 3BF92E   3930414   0.4685419
    50 | 3F4F83   4149123   0.4946140
    51 | 42D562   4380002   0.5221369
    52 | 468D70   4623728   0.5511913
    53 | 4A7A78   4881016   0.5818624
    54 | 4E9F6D   5152621   0.6142403
    55 | 52FF6B   5439339   0.6484197
    56 | 579DBC   5742012   0.6845012
    57 | 5C7DD8   6061528   0.7225904
    58 | 61A366   6398822   0.7627990
    59 | 671246   6754886   0.8052452
    60 | 6CCE8B   7130763   0.8500532
    61 | 72DC83   7527555   0.8973545
    62 | 7940BC   7946428   0.9472880
    63 | 7FFFFF   8388607   0.9999999
    64 | 7FFFFF   8388607   0.9999999
    65 | 7FFFFF   8388607   0.9999999
    66 | 7FFFFF   8388607   0.9999999
    67 | 7FFFFF   8388607   0.9999999
    68 | 7FFFFF   8388607   0.9999999
    69 | 7FFFFF   8388607   0.9999999
    70 | 7FFFFF   8388607   0.9999999
    71 | 7FFFFF   8388607   0.9999999
    72 | 7FFFFF   8388607   0.9999999
    73 | 7FFFFF   8388607   0.9999999
    74 | 7FFFFF   8388607   0.9999999
    75 | 7FFFFF   8388607   0.9999999
    76 | 7FFFFF   8388607   0.9999999
    77 | 7FFFFF   8388607   0.9999999
    78 | 7FFFFF   8388607   0.9999999
    79 | 7FFFFF   8388607   0.9999999
    80 | 7FFFFF   8388607   0.9999999
    81 | 7FFFFF   8388607   0.9999999
    82 | 7FFFFF   8388607   0.9999999
    83 | 7FFFFF   8388607   0.9999999
    84 | 7FFFFF   8388607   0.9999999
    85 | 7FFFFF   8388607   0.9999999
    86 | 7FFFFF   8388607   0.9999999
    87 | 7FFFFF   8388607   0.9999999
    88 | 7FFFFF   8388607   0.9999999
    89 | 7FFFFF   8388607   0.9999999
    90 | 7FFFFF   8388607   0.9999999
    91 | 7FFFFF   8388607   0.9999999
    92 | 7FFFFF   8388607   0.9999999
    93 | 7FFFFF   8388607   0.9999999
    94 | 7FFFFF   8388607   0.9999999
    95 | 7FFFFF   8388607   0.9999999
    96 | 7FFFFF   8388607   0.9999999
    97 | 7FFFFF   8388607   0.9999999
    98 | 7FFFFF   8388607   0.9999999
    99 | 7FFFFF   8388607   0.9999999
   100 | 7FFFFF   8388607   0.9999999
   101 | 7FFFFF   8388607   0.9999999
   102 | 7FFFFF   8388607   0.9999999
   103 | 7FFFFF   8388607   0.9999999
   104 | 7FFFFF   8388607   0.9999999
   105 | 7FFFFF   8388607   0.9999999
   106 | 7FFFFF   8388607   0.9999999
   107 | 7FFFFF   8388607   0.9999999
   108 | 7FFFFF   8388607   0.9999999
   109 | 7FFFFF   8388607   0.9999999
   110 | 7FFFFF   8388607   0.9999999
   111 | 7FFFFF   8388607   0.9999999
   112 | 7FFFFF   8388607   0.9999999
   113 | 7FFFFF   8388607   0.9999999
   114 | 7FFFFF   8388607   0.9999999
   115 | 7FFFFF   8388607   0.9999999
   116 | 7FFFFF   8388607   0.9999999
   117 | 7FFFFF   8388607   0.9999999
   118 | 7FFFFF   8388607   0.9999999
   119 | 7FFFFF   8388607   0.9999999
   120 | 7FFFFF   8388607   0.9999999
   121 | 7FFFFF   8388607   0.9999999
   122 | 7FFFFF   8388607   0.9999999
   123 | 7FFFFF   8388607   0.9999999
   124 | 7FFFFF   8388607   0.9999999
   125 | 7FFFFF   8388607   0.9999999
   126 | 7FFFFF   8388607   0.9999999
   127 | 7FFFFF   8388607   0.9999999
