# P:$144546  filter_width_tbl_2  (128 words)
# FILTER: width table 2, indexed by WIDTH (0..127); used at P:$0597 kernel
#  idx | hex     signed24   fraction(24-bit)
     0 | 007453     29779   0.0035499
     1 | 00741A     29722   0.0035431
     2 | 0073DF     29663   0.0035361
     3 | 0073A0     29600   0.0035286
     4 | 00735D     29533   0.0035206
     5 | 007317     29463   0.0035123
     6 | 0072CD     29389   0.0035034
     7 | 00727E     29310   0.0034940
     8 | 00722C     29228   0.0034842
     9 | 0071D5     29141   0.0034739
    10 | 007179     29049   0.0034629
    11 | 007118     28952   0.0034513
    12 | 0070B1     28849   0.0034391
    13 | 007045     28741   0.0034262
    14 | 006FD2     28626   0.0034125
    15 | 006F5A     28506   0.0033982
    16 | 006EDA     28378   0.0033829
    17 | 006E54     28244   0.0033669
    18 | 006DC6     28102   0.0033500
    19 | 006D30     27952   0.0033321
    20 | 006C92     27794   0.0033133
    21 | 006BEB     27627   0.0032934
    22 | 006B3B     27451   0.0032724
    23 | 006A81     27265   0.0032502
    24 | 0069BC     27068   0.0032268
    25 | 0068ED     26861   0.0032021
    26 | 006812     26642   0.0031760
    27 | 00672B     26411   0.0031484
    28 | 006637     26167   0.0031193
    29 | 006536     25910   0.0030887
    30 | 006426     25638   0.0030563
    31 | 006307     25351   0.0030221
    32 | 0061D8     25048   0.0029860
    33 | 006098     24728   0.0029478
    34 | 005F47     24391   0.0029076
    35 | 005DE2     24034   0.0028651
    36 | 005C6A     23658   0.0028203
    37 | 005ADD     23261   0.0027729
    38 | 00593A     22842   0.0027230
    39 | 00577F     22399   0.0026702
    40 | 0055AC     21932   0.0026145
    41 | 0053BF     21439   0.0025557
    42 | 0051B6     20918   0.0024936
    43 | 004F91     20369   0.0024282
    44 | 004D4C     19788   0.0023589
    45 | 004AE8     19176   0.0022860
    46 | 004862     18530   0.0022089
    47 | 0045B7     17847   0.0021275
    48 | 0042E7     17127   0.0020417
    49 | 003FEE     16366   0.0019510
    50 | 003CCB     15563   0.0018553
    51 | 00397C     14716   0.0017543
    52 | 0035FD     13821   0.0016476
    53 | 00324C     12876   0.0015349
    54 | 002E67     11879   0.0014161
    55 | 002A4B     10827   0.0012907
    56 | 0025F4      9716   0.0011582
    57 | 00215F      8543   0.0010184
    58 | 001C89      7305   0.0008708
    59 | 00176D      5997   0.0007149
    60 | 00120A      4618   0.0005505
    61 | 000C59      3161   0.0003768
    62 | 000657      1623   0.0001935
    63 | 000000         0   0.0000000
    64 | FFF29D     -3427  -0.0004085
    65 | FFE47B     -7045  -0.0008398
    66 | FFD590    -10864  -0.0012951
    67 | FFC5D0    -14896  -0.0017757
    68 | FFB530    -19152  -0.0022831
    69 | FFA3A3    -23645  -0.0028187
    70 | FF911C    -28388  -0.0033841
    71 | FF7D8E    -33394  -0.0039809
    72 | FF68E8    -38680  -0.0046110
    73 | FF531D    -44259  -0.0052761
    74 | FF3C1B    -50149  -0.0059782
    75 | FF23D1    -56367  -0.0067195
    76 | FF0A2E    -62930  -0.0075018
    77 | FEEF1D    -69859  -0.0083278
    78 | FED28A    -77174  -0.0091999
    79 | FEB461    -84895  -0.0101203
    80 | FE9489    -93047  -0.0110921
    81 | FE72ED   -101651  -0.0121177
    82 | FE4F71   -110735  -0.0132006
    83 | FE29FC   -120324  -0.0143437
    84 | FE0272   -130446  -0.0155504
    85 | FDD8B4   -141132  -0.0168242
    86 | FDACA3   -152413  -0.0181690
    87 | FD7E1F   -164321  -0.0195886
    88 | FD4D04   -176892  -0.0210872
    89 | FD192E   -190162  -0.0226691
    90 | FCE275   -204171  -0.0243391
    91 | FCA8B1   -218959  -0.0261019
    92 | FC6BB6   -234570  -0.0279629
    93 | FC2B56   -251050  -0.0299275
    94 | FBE761   -268447  -0.0320014
    95 | FB9FA4   -286812  -0.0341907
    96 | FB53E9   -306199  -0.0365018
    97 | FB03F8   -326664  -0.0389414
    98 | FAAF93   -348269  -0.0415169
    99 | FA567D   -371075  -0.0442356
   100 | F9F871   -395151  -0.0471057
   101 | F9952A   -420566  -0.0501354
   102 | F92C5C   -447396  -0.0533338
   103 | F8BDB9   -475719  -0.0567101
   104 | F848EF   -505617  -0.0602742
   105 | F7CDA5   -537179  -0.0640367
   106 | F74B7E   -570498  -0.0680087
   107 | F6C219   -605671  -0.0722016
   108 | F63110   -642800  -0.0766277
   109 | F597F4   -681996  -0.0813003
   110 | F4F653   -723373  -0.0862328
   111 | F44BB3   -767053  -0.0914398
   112 | F39795   -813163  -0.0969366
   113 | F2D972   -861838  -0.1027391
   114 | F210B9   -913223  -0.1088647
   115 | F13CD6   -967466  -0.1153309
   116 | F05D28  -1024728  -0.1221571
   117 | EF7108  -1085176  -0.1293631
   118 | EE77C4  -1148988  -0.1369700
   119 | ED70A1  -1216351  -0.1450003
   120 | EC5ADA  -1287462  -0.1534774
   121 | EB359D  -1362531  -0.1624264
   122 | EA0010  -1441776  -0.1718731
   123 | E8B949  -1525431  -0.1818455
   124 | E76053  -1613741  -0.1923729
   125 | E5F42B  -1706965  -0.2034861
   126 | E473BF  -1805377  -0.2152177
   127 | E2DDF0  -1909264  -0.2276020
