# P:$144946  resonance_hp_tbl2  (128 words)
# RESONANCE: HPQ partner table, indexed HPQ>>1; used at P:$0914 kernel
#  idx | hex     signed24   fraction(24-bit)
     0 | 010000     65536   0.0078125
     1 | 011E00     73216   0.0087280
     2 | 013C00     80896   0.0096436
     3 | 015A00     88576   0.0105591
     4 | 017800     96256   0.0114746
     5 | 019600    103936   0.0123901
     6 | 01B400    111616   0.0133057
     7 | 01D200    119296   0.0142212
     8 | 01F000    126976   0.0151367
     9 | 020E00    134656   0.0160522
    10 | 022C00    142336   0.0169678
    11 | 024A00    150016   0.0178833
    12 | 026800    157696   0.0187988
    13 | 028600    165376   0.0197144
    14 | 02A400    173056   0.0206299
    15 | 02C200    180736   0.0215454
    16 | 02E000    188416   0.0224609
    17 | 02FE00    196096   0.0233765
    18 | 031C00    203776   0.0242920
    19 | 033A00    211456   0.0252075
    20 | 035800    219136   0.0261230
    21 | 037600    226816   0.0270386
    22 | 039400    234496   0.0279541
    23 | 03B200    242176   0.0288696
    24 | 03D000    249856   0.0297852
    25 | 03EE00    257536   0.0307007
    26 | 040C00    265216   0.0316162
    27 | 042A00    272896   0.0325317
    28 | 044800    280576   0.0334473
    29 | 046600    288256   0.0343628
    30 | 048400    295936   0.0352783
    31 | 04A200    303616   0.0361938
    32 | 04C000    311296   0.0371094
    33 | 04DE00    318976   0.0380249
    34 | 04FC00    326656   0.0389404
    35 | 051A00    334336   0.0398560
    36 | 053800    342016   0.0407715
    37 | 055600    349696   0.0416870
    38 | 057400    357376   0.0426025
    39 | 059200    365056   0.0435181
    40 | 05B000    372736   0.0444336
    41 | 05CE00    380416   0.0453491
    42 | 05EC00    388096   0.0462646
    43 | 060A00    395776   0.0471802
    44 | 062800    403456   0.0480957
    45 | 064600    411136   0.0490112
    46 | 066400    418816   0.0499268
    47 | 068200    426496   0.0508423
    48 | 06A000    434176   0.0517578
    49 | 06BE00    441856   0.0526733
    50 | 06DC00    449536   0.0535889
    51 | 06FA00    457216   0.0545044
    52 | 071800    464896   0.0554199
    53 | 073600    472576   0.0563354
    54 | 075400    480256   0.0572510
    55 | 077200    487936   0.0581665
    56 | 079000    495616   0.0590820
    57 | 07AE00    503296   0.0599976
    58 | 07CC00    510976   0.0609131
    59 | 07EA00    518656   0.0618286
    60 | 080800    526336   0.0627441
    61 | 082600    534016   0.0636597
    62 | 084400    541696   0.0645752
    63 | 086200    549376   0.0654907
    64 | 088000    557056   0.0664062
    65 | 089E00    564736   0.0673218
    66 | 08BC00    572416   0.0682373
    67 | 08DA00    580096   0.0691528
    68 | 08F800    587776   0.0700684
    69 | 091600    595456   0.0709839
    70 | 093400    603136   0.0718994
    71 | 095200    610816   0.0728149
    72 | 097000    618496   0.0737305
    73 | 098E00    626176   0.0746460
    74 | 09AC00    633856   0.0755615
    75 | 09CA00    641536   0.0764771
    76 | 09E800    649216   0.0773926
    77 | 0A0600    656896   0.0783081
    78 | 0A2400    664576   0.0792236
    79 | 0A4200    672256   0.0801392
    80 | 0A6000    679936   0.0810547
    81 | 0A7E00    687616   0.0819702
    82 | 0A9C00    695296   0.0828857
    83 | 0ABA00    702976   0.0838013
    84 | 0AD800    710656   0.0847168
    85 | 0AF600    718336   0.0856323
    86 | 0B1400    726016   0.0865479
    87 | 0B3200    733696   0.0874634
    88 | 0B5000    741376   0.0883789
    89 | 0B6E00    749056   0.0892944
    90 | 0B8C00    756736   0.0902100
    91 | 0BAA00    764416   0.0911255
    92 | 0BC800    772096   0.0920410
    93 | 0BE600    779776   0.0929565
    94 | 0C0400    787456   0.0938721
    95 | 0C2200    795136   0.0947876
    96 | 0C4000    802816   0.0957031
    97 | 0C5E00    810496   0.0966187
    98 | 0C7C00    818176   0.0975342
    99 | 0C9A00    825856   0.0984497
   100 | 0CB800    833536   0.0993652
   101 | 0CD600    841216   0.1002808
   102 | 0CF400    848896   0.1011963
   103 | 0D1200    856576   0.1021118
   104 | 0D3000    864256   0.1030273
   105 | 0D4E00    871936   0.1039429
   106 | 0D6C00    879616   0.1048584
   107 | 0D8A00    887296   0.1057739
   108 | 0DA800    894976   0.1066895
   109 | 0DC600    902656   0.1076050
   110 | 0DE400    910336   0.1085205
   111 | 0E0200    918016   0.1094360
   112 | 0E2000    925696   0.1103516
   113 | 0E3E00    933376   0.1112671
   114 | 0E5C00    941056   0.1121826
   115 | 0E7A00    948736   0.1130981
   116 | 0E9800    956416   0.1140137
   117 | 0EB600    964096   0.1149292
   118 | 0ED400    971776   0.1158447
   119 | 0EF200    979456   0.1167603
   120 | 0F1000    987136   0.1176758
   121 | 0F2E00    994816   0.1185913
   122 | 0F4C00   1002496   0.1195068
   123 | 0F6A00   1010176   0.1204224
   124 | 0F8800   1017856   0.1213379
   125 | 0FA600   1025536   0.1222534
   126 | 0FC400   1033216   0.1231689
   127 | 0FE200   1040896   0.1240845
