# P:$144B48  kernel_tbl_144B48  (128 words)
# kernel tbl: filter env region P:$0AA9 (indexed by r2 = (state8d>>11)&$3FFF)
#  idx | hex     signed24   fraction(24-bit)
     0 | 045180    283008   0.0337372
     1 | 087D43    556355   0.0663227
     2 | 0C842D    820269   0.0977837
     3 | 106722   1074978   0.1281474
     4 | 14270A   1320714   0.1574414
     5 | 17C4CE   1557710   0.1856935
     6 | 1B415B   1786203   0.2129320
     7 | 1E9D9C   2006428   0.2391849
     8 | 21DA7F   2218623   0.2644805
     9 | 24F8EF   2423023   0.2888469
    10 | 27F9D8   2619864   0.3123121
    11 | 2ADE24   2809380   0.3349042
    12 | 2DA6BA   2991802   0.3566506
    13 | 305481   3167361   0.3775789
    14 | 32E85B   3336283   0.3977159
    15 | 356327   3498791   0.4170884
    16 | 37C5C1   3655105   0.4357225
    17 | 3A1102   3805442   0.4536440
    18 | 3C45BD   3950013   0.4708782
    19 | 3E64C2   4089026   0.4874499
    20 | 406EDB   4222683   0.5033830
    21 | 4264CF   4351183   0.5187014
    22 | 44475E   4474718   0.5334280
    23 | 461743   4593475   0.5475849
    24 | 47D535   4707637   0.5611941
    25 | 4981E6   4817382   0.5742767
    26 | 4B1E01   4922881   0.5868531
    27 | 4CAA2D   5024301   0.5989434
    28 | 4E270A   5121802   0.6105664
    29 | 4F9535   5215541   0.6217409
    30 | 50F544   5305668   0.6324849
    31 | 5247C7   5392327   0.6428155
    32 | 538D4C   5475660   0.6527495
    33 | 54C657   5555799   0.6623029
    34 | 55F36D   5632877   0.6714913
    35 | 571509   5707017   0.6803294
    36 | 582BA4   5778340   0.6888318
    37 | 5937B0   5846960   0.6970119
    38 | 5A399D   5912989   0.7048832
    39 | 5B31D6   5976534   0.7124584
    40 | 5C20C0   6037696   0.7197495
    41 | 5D06BD   6096573   0.7267681
    42 | 5DE42B   6153259   0.7335256
    43 | 5EB964   6207844   0.7400327
    44 | 5F86BF   6260415   0.7462996
    45 | 604C8D   6311053   0.7523361
    46 | 610B1E   6359838   0.7581518
    47 | 61C2BD   6406845   0.7637554
    48 | 6273B3   6452147   0.7691559
    49 | 631E45   6495813   0.7743613
    50 | 63C2B6   6537910   0.7793796
    51 | 646144   6578500   0.7842183
    52 | 64FA2C   6617644   0.7888846
    53 | 658DA9   6655401   0.7933856
    54 | 661BF1   6691825   0.7977277
    55 | 66A539   6726969   0.8019172
    56 | 6729B5   6760885   0.8059603
    57 | 67A995   6793621   0.8098627
    58 | 682506   6825222   0.8136299
    59 | 689C36   6855734   0.8172672
    60 | 690F4E   6885198   0.8207796
    61 | 697E77   6913655   0.8241719
    62 | 69E9D7   6941143   0.8274487
    63 | 6A5194   6967700   0.8306146
    64 | 6AB5D1   6993361   0.8336736
    65 | 6B16AF   7018159   0.8366297
    66 | 6B744F   7042127   0.8394870
    67 | 6BCED0   7065296   0.8422489
    68 | 6C2650   7087696   0.8449192
    69 | 6C7AE9   7109353   0.8475009
    70 | 6CCCB8   7130296   0.8499975
    71 | 6D1BD7   7150551   0.8524121
    72 | 6D685E   7170142   0.8547475
    73 | 6DB264   7189092   0.8570065
    74 | 6DFA01   7207425   0.8591920
    75 | 6E3F4A   7225162   0.8613064
    76 | 6E8253   7242323   0.8633522
    77 | 6EC331   7258929   0.8653318
    78 | 6F01F6   7274998   0.8672473
    79 | 6F3EB6   7290550   0.8691013
    80 | 6F7980   7305600   0.8708954
    81 | 6FB266   7320166   0.8726318
    82 | 6FE977   7334263   0.8743123
    83 | 701EC3   7347907   0.8759388
    84 | 705259   7361113   0.8775131
    85 | 708447   7373895   0.8790368
    86 | 70B499   7386265   0.8805114
    87 | 70E35D   7398237   0.8819386
    88 | 71109F   7409823   0.8833197
    89 | 713C6B   7421035   0.8846563
    90 | 7166CC   7431884   0.8859496
    91 | 718FCE   7442382   0.8872011
    92 | 71B779   7452537   0.8884116
    93 | 71DDD9   7462361   0.8895828
    94 | 7202F7   7471863   0.8907155
    95 | 7226DB   7481051   0.8918108
    96 | 72498F   7489935   0.8928698
    97 | 726B1C   7498524   0.8938937
    98 | 728B88   7506824   0.8948832
    99 | 72AADC   7514844   0.8958392
   100 | 72C91F   7522591   0.8967627
   101 | 72E658   7530072   0.8976545
   102 | 73028E   7537294   0.8985155
   103 | 731DC7   7544263   0.8993462
   104 | 73380A   7550986   0.9001477
   105 | 73515C   7557468   0.9009204
   106 | 7369C4   7563716   0.9016652
   107 | 738145   7569733   0.9023825
   108 | 7397E7   7575527   0.9030732
   109 | 73ADAD   7581101   0.9037377
   110 | 73C29C   7586460   0.9043765
   111 | 73D6B9   7591609   0.9049903
   112 | 73EA09   7596553   0.9055797
   113 | 73FC8E   7601294   0.9061449
   114 | 740E4E   7605838   0.9066865
   115 | 741F4C   7610188   0.9072051
   116 | 742F8B   7614347   0.9077009
   117 | 743F0F   7618319   0.9081744
   118 | 744DDB   7622107   0.9086260
   119 | 745BF2   7625714   0.9090559
   120 | 746956   7629142   0.9094646
   121 | 74760C   7632396   0.9098525
   122 | 748215   7635477   0.9102198
   123 | 748D73   7638387   0.9105667
   124 | 749829   7641129   0.9108936
   125 | 74A239   7643705   0.9112006
   126 | 74ABA6   7646118   0.9114883
   127 | 74B470   7648368   0.9117565
