# P:$144BC9  kernel_tbl_144BC9  (128 words)
# kernel tbl: P:$0990 (delay region, indexed by LPQ>>1!)
#  idx | hex     signed24   fraction(24-bit)
     0 | 008000     32768   0.0039062
     1 | 010000     65536   0.0078125
     2 | 018000     98304   0.0117188
     3 | 020000    131072   0.0156250
     4 | 028000    163840   0.0195312
     5 | 030000    196608   0.0234375
     6 | 038000    229376   0.0273438
     7 | 040000    262144   0.0312500
     8 | 048000    294912   0.0351562
     9 | 050000    327680   0.0390625
    10 | 058000    360448   0.0429688
    11 | 060000    393216   0.0468750
    12 | 068000    425984   0.0507812
    13 | 070000    458752   0.0546875
    14 | 078000    491520   0.0585938
    15 | 080000    524288   0.0625000
    16 | 088000    557056   0.0664062
    17 | 090000    589824   0.0703125
    18 | 098000    622592   0.0742188
    19 | 0A0000    655360   0.0781250
    20 | 0A8000    688128   0.0820312
    21 | 0B0000    720896   0.0859375
    22 | 0B8000    753664   0.0898438
    23 | 0C0000    786432   0.0937500
    24 | 0C8000    819200   0.0976562
    25 | 0D0000    851968   0.1015625
    26 | 0D8000    884736   0.1054688
    27 | 0E0000    917504   0.1093750
    28 | 0E8000    950272   0.1132812
    29 | 0F0000    983040   0.1171875
    30 | 0F8000   1015808   0.1210938
    31 | 100000   1048576   0.1250000
    32 | 108000   1081344   0.1289062
    33 | 110000   1114112   0.1328125
    34 | 118000   1146880   0.1367188
    35 | 120000   1179648   0.1406250
    36 | 128000   1212416   0.1445312
    37 | 130000   1245184   0.1484375
    38 | 138000   1277952   0.1523438
    39 | 140000   1310720   0.1562500
    40 | 148000   1343488   0.1601562
    41 | 150000   1376256   0.1640625
    42 | 158000   1409024   0.1679688
    43 | 160000   1441792   0.1718750
    44 | 168000   1474560   0.1757812
    45 | 170000   1507328   0.1796875
    46 | 178000   1540096   0.1835938
    47 | 180000   1572864   0.1875000
    48 | 188000   1605632   0.1914062
    49 | 190000   1638400   0.1953125
    50 | 198000   1671168   0.1992188
    51 | 1A0000   1703936   0.2031250
    52 | 1A8000   1736704   0.2070312
    53 | 1B0000   1769472   0.2109375
    54 | 1B8000   1802240   0.2148438
    55 | 1C0000   1835008   0.2187500
    56 | 1C8000   1867776   0.2226562
    57 | 1D0000   1900544   0.2265625
    58 | 1D8000   1933312   0.2304688
    59 | 1E0000   1966080   0.2343750
    60 | 1E8000   1998848   0.2382812
    61 | 1F0000   2031616   0.2421875
    62 | 1F8000   2064384   0.2460938
    63 | 200000   2097152   0.2500000
    64 | 208000   2129920   0.2539062
    65 | 210000   2162688   0.2578125
    66 | 218000   2195456   0.2617188
    67 | 220000   2228224   0.2656250
    68 | 228000   2260992   0.2695312
    69 | 230000   2293760   0.2734375
    70 | 238000   2326528   0.2773438
    71 | 240000   2359296   0.2812500
    72 | 248000   2392064   0.2851562
    73 | 250000   2424832   0.2890625
    74 | 258000   2457600   0.2929688
    75 | 260000   2490368   0.2968750
    76 | 268000   2523136   0.3007812
    77 | 270000   2555904   0.3046875
    78 | 278000   2588672   0.3085938
    79 | 280000   2621440   0.3125000
    80 | 288000   2654208   0.3164062
    81 | 290000   2686976   0.3203125
    82 | 298000   2719744   0.3242188
    83 | 2A0000   2752512   0.3281250
    84 | 2A8000   2785280   0.3320312
    85 | 2B0000   2818048   0.3359375
    86 | 2B8000   2850816   0.3398438
    87 | 2C0000   2883584   0.3437500
    88 | 2C8000   2916352   0.3476562
    89 | 2D0000   2949120   0.3515625
    90 | 2D8000   2981888   0.3554688
    91 | 2E0000   3014656   0.3593750
    92 | 2E8000   3047424   0.3632812
    93 | 2F0000   3080192   0.3671875
    94 | 2F8000   3112960   0.3710938
    95 | 300000   3145728   0.3750000
    96 | 308000   3178496   0.3789062
    97 | 310000   3211264   0.3828125
    98 | 318000   3244032   0.3867188
    99 | 320000   3276800   0.3906250
   100 | 328000   3309568   0.3945312
   101 | 330000   3342336   0.3984375
   102 | 338000   3375104   0.4023438
   103 | 340000   3407872   0.4062500
   104 | 348000   3440640   0.4101562
   105 | 350000   3473408   0.4140625
   106 | 358000   3506176   0.4179688
   107 | 360000   3538944   0.4218750
   108 | 368000   3571712   0.4257812
   109 | 370000   3604480   0.4296875
   110 | 378000   3637248   0.4335938
   111 | 380000   3670016   0.4375000
   112 | 388000   3702784   0.4414062
   113 | 390000   3735552   0.4453125
   114 | 398000   3768320   0.4492188
   115 | 3A0000   3801088   0.4531250
   116 | 3A8000   3833856   0.4570312
   117 | 3B0000   3866624   0.4609375
   118 | 3B7FFF   3899391   0.4648436
   119 | 3BFFFF   3932159   0.4687499
   120 | 3C7FFF   3964927   0.4726561
   121 | 3CFFFF   3997695   0.4765624
   122 | 3D7FFF   4030463   0.4804686
   123 | 3DFFFF   4063231   0.4843749
   124 | 3E7FFF   4095999   0.4882811
   125 | 3EFFFF   4128767   0.4921874
   126 | 3F7FFF   4161535   0.4960936
   127 | 3FFFFF   4194303   0.4999999
