142F06  7FF846
142F07  7FF83B
142F08  7FF830
142F09  7FF825
142F0A  7FF81A
142F0B  7FF80F
142F0C  7FF804
142F0D  7FF7F9
142F0E  7FF7EE
142F0F  7FF7E3
142F10  7FF7D8
142F11  7FF7CC
142F12  7FF7C1
142F13  7FF7B5
142F14  7FF7AA
142F15  7FF79E
142F16  7FF793
142F17  7FF787
142F18  7FF77B
142F19  7FF76F
142F1A  7FF763
142F1B  7FF758
142F1C  7FF74B
142F1D  7FF73F
142F1E  7FF733
142F1F  7FF727
142F20  7FF71B
142F21  7FF70E
142F22  7FF702
142F23  7FF6F5
142F24  7FF6E9
142F25  7FF6DC
142F26  7FF6CF
142F27  7FF6C3
142F28  7FF6B6
142F29  7FF6A9
142F2A  7FF69C
142F2B  7FF68F
142F2C  7FF682
142F2D  7FF675
142F2E  7FF667
142F2F  7FF65A
142F30  7FF64D
142F31  7FF63F
142F32  7FF632
142F33  7FF624
142F34  7FF616
142F35  7FF608
