# P:$141880  env_shape_tbl_B  (128 words)
# AMP/FLT env: DECAY/RELEASE curve table (indexed by DEC>>10 or REL>>10); used at P:$04CA/04E7/08D4
#  idx | hex     signed24   fraction(24-bit)
     0 | 8D1897  -7530345  -0.8976871
     1 | 8C4936  -7583434  -0.9040158
     2 | 8B8603  -7633405  -0.9099728
     3 | 8ACE5A  -7680422  -0.9155777
     4 | 8A21A0  -7724640  -0.9208488
     5 | 897F3D  -7766211  -0.9258045
     6 | 88E6A2  -7805278  -0.9304616
     7 | 885744  -7841980  -0.9348369
     8 | 87D09F  -7876449  -0.9389459
     9 | 875234  -7908812  -0.9428039
    10 | 86DB8C  -7939188  -0.9464250
    11 | 866C33  -7967693  -0.9498230
    12 | 8603BC  -7994436  -0.9530110
    13 | 85A1C2  -8019518  -0.9560010
    14 | 8545E0  -8043040  -0.9588051
    15 | 84EFBC  -8065092  -0.9614339
    16 | 849EFC  -8085764  -0.9638982
    17 | 84534D  -8105139  -0.9662079
    18 | 840C62  -8123294  -0.9683721
    19 | 83C9EF  -8140305  -0.9704000
    20 | 838BB0  -8156240  -0.9722996
    21 | 835161  -8171167  -0.9740790
    22 | 831AC5  -8185147  -0.9757456
    23 | 82E7A2  -8198238  -0.9773061
    24 | 82B7C0  -8210496  -0.9787674
    25 | 828AEB  -8221973  -0.9801356
    26 | 8260F2  -8232718  -0.9814165
    27 | 8239A8  -8242776  -0.9826155
    28 | 8214E2  -8252190  -0.9837377
    29 | 81F277  -8261001  -0.9847881
    30 | 81D240  -8269248  -0.9857712
    31 | 81B41B  -8276965  -0.9866911
    32 | 8197E6  -8284186  -0.9875519
    33 | 817D81  -8290943  -0.9883574
    34 | 8164CF  -8297265  -0.9891111
    35 | 814DB4  -8303180  -0.9898162
    36 | 813816  -8308714  -0.9904759
    37 | 8123DD  -8313891  -0.9910930
    38 | 8110F3  -8318733  -0.9916703
    39 | 80FF40  -8323264  -0.9922104
    40 | 80EEB3  -8327501  -0.9927155
    41 | 80DF37  -8331465  -0.9931880
    42 | 80D0BC  -8335172  -0.9936299
    43 | 80C330  -8338640  -0.9940434
    44 | 80B685  -8341883  -0.9944299
    45 | 80AAAB  -8344917  -0.9947916
    46 | 809F97  -8347753  -0.9951297
    47 | 809539  -8350407  -0.9954461
    48 | 808B88  -8352888  -0.9957418
    49 | 808278  -8355208  -0.9960184
    50 | 8079FE  -8357378  -0.9962771
    51 | 807211  -8359407  -0.9965190
    52 | 806AA7  -8361305  -0.9967452
    53 | 8063B9  -8363079  -0.9969567
    54 | 805D3E  -8364738  -0.9971545
    55 | 80572E  -8366290  -0.9973395
    56 | 805183  -8367741  -0.9975125
    57 | 804C37  -8369097  -0.9976741
    58 | 804742  -8370366  -0.9978254
    59 | 8042A0  -8371552  -0.9979668
    60 | 803E4B  -8372661  -0.9980990
    61 | 803A3E  -8373698  -0.9982226
    62 | 803674  -8374668  -0.9983382
    63 | 8032EA  -8375574  -0.9984462
    64 | 802F9A  -8376422  -0.9985473
    65 | 802C81  -8377215  -0.9986418
    66 | 80299C  -8377956  -0.9987302
    67 | 8026E7  -8378649  -0.9988128
    68 | 80245F  -8379297  -0.9988900
    69 | 802202  -8379902  -0.9989622
    70 | 801FCB  -8380469  -0.9990298
    71 | 801DBA  -8380998  -0.9990928
    72 | 801BCB  -8381493  -0.9991518
    73 | 8019FC  -8381956  -0.9992070
    74 | 80184B  -8382389  -0.9992586
    75 | 8016B6  -8382794  -0.9993069
    76 | 80153C  -8383172  -0.9993520
    77 | 8013DA  -8383526  -0.9993942
    78 | 801290  -8383856  -0.9994335
    79 | 80115A  -8384166  -0.9994705
    80 | 801039  -8384455  -0.9995049
    81 | 800F2B  -8384725  -0.9995371
    82 | 800E2E  -8384978  -0.9995673
    83 | 800D42  -8385214  -0.9995954
    84 | 800C65  -8385435  -0.9996217
    85 | 800B97  -8385641  -0.9996463
    86 | 800AD6  -8385834  -0.9996693
    87 | 800A21  -8386015  -0.9996909
    88 | 800978  -8386184  -0.9997110
    89 | 8008DB  -8386341  -0.9997298
    90 | 800847  -8386489  -0.9997474
    91 | 8007BD  -8386627  -0.9997638
    92 | 80073C  -8386756  -0.9997792
    93 | 8006C4  -8386876  -0.9997935
    94 | 800653  -8386989  -0.9998070
    95 | 8005EA  -8387094  -0.9998195
    96 | 800587  -8387193  -0.9998313
    97 | 80052B  -8387285  -0.9998423
    98 | 8004D5  -8387371  -0.9998525
    99 | 800484  -8387452  -0.9998622
   100 | 800439  -8387527  -0.9998711
   101 | 8003F3  -8387597  -0.9998795
   102 | 8003B1  -8387663  -0.9998873
   103 | 800374  -8387724  -0.9998946
