# P:$141900  env_shape_tbl_C  (128 words)
# env curve table C (used at P:$04B6 area state machine)
#  idx | hex     signed24   fraction(24-bit)
     0 | 000001         1   0.0000001
     1 | 000001         1   0.0000001
     2 | 000001         1   0.0000001
     3 | 000001         1   0.0000001
     4 | 000001         1   0.0000001
     5 | 000001         1   0.0000001
     6 | 000001         1   0.0000001
     7 | 000001         1   0.0000001
     8 | 000002         2   0.0000002
     9 | 000002         2   0.0000002
    10 | 000002         2   0.0000002
    11 | 000002         2   0.0000002
    12 | 000003         3   0.0000004
    13 | 000003         3   0.0000004
    14 | 000003         3   0.0000004
    15 | 000004         4   0.0000005
    16 | 000004         4   0.0000005
    17 | 000004         4   0.0000005
    18 | 000005         5   0.0000006
    19 | 000005         5   0.0000006
    20 | 000006         6   0.0000007
    21 | 000007         7   0.0000008
    22 | 000007         7   0.0000008
    23 | 000008         8   0.0000010
    24 | 000009         9   0.0000011
    25 | 00000A        10   0.0000012
    26 | 00000B        11   0.0000013
    27 | 00000C        12   0.0000014
    28 | 00000D        13   0.0000015
    29 | 00000F        15   0.0000018
    30 | 000010        16   0.0000019
    31 | 000012        18   0.0000021
    32 | 000014        20   0.0000024
    33 | 000015        21   0.0000025
    34 | 000018        24   0.0000029
    35 | 00001A        26   0.0000031
    36 | 00001D        29   0.0000035
    37 | 00001F        31   0.0000037
    38 | 000023        35   0.0000042
    39 | 000026        38   0.0000045
    40 | 00002A        42   0.0000050
    41 | 00002E        46   0.0000055
    42 | 000033        51   0.0000061
    43 | 000038        56   0.0000067
    44 | 00003D        61   0.0000073
    45 | 000043        67   0.0000080
    46 | 00004A        74   0.0000088
    47 | 000051        81   0.0000097
    48 | 000059        89   0.0000106
    49 | 000062        98   0.0000117
    50 | 00006C       108   0.0000129
    51 | 000076       118   0.0000141
    52 | 000082       130   0.0000155
    53 | 00008F       143   0.0000170
    54 | 00009D       157   0.0000187
    55 | 0000AC       172   0.0000205
    56 | 0000BD       189   0.0000225
    57 | 0000D0       208   0.0000248
    58 | 0000E4       228   0.0000272
    59 | 0000FB       251   0.0000299
    60 | 000113       275   0.0000328
    61 | 00012E       302   0.0000360
    62 | 00014C       332   0.0000396
    63 | 00016D       365   0.0000435
    64 | 000190       400   0.0000477
    65 | 0001B8       440   0.0000525
    66 | 0001E3       483   0.0000576
    67 | 000213       531   0.0000633
    68 | 000247       583   0.0000695
    69 | 000280       640   0.0000763
    70 | 0002BF       703   0.0000838
    71 | 000304       772   0.0000920
    72 | 000350       848   0.0001011
    73 | 0003A3       931   0.0001110
    74 | 0003FF      1023   0.0001220
    75 | 000463      1123   0.0001339
    76 | 0004D1      1233   0.0001470
    77 | 00054A      1354   0.0001614
    78 | 0005CF      1487   0.0001773
    79 | 000662      1634   0.0001948
    80 | 000702      1794   0.0002139
    81 | 0007B2      1970   0.0002348
    82 | 000874      2164   0.0002580
    83 | 000948      2376   0.0002832
    84 | 000A31      2609   0.0003110
    85 | 000B32      2866   0.0003417
    86 | 000C4B      3147   0.0003752
    87 | 000D80      3456   0.0004120
    88 | 000ED3      3795   0.0004524
    89 | 001048      4168   0.0004969
    90 | 0011E1      4577   0.0005456
    91 | 0013A3      5027   0.0005993
    92 | 001591      5521   0.0006582
    93 | 0017AF      6063   0.0007228
    94 | 001A02      6658   0.0007937
    95 | 001C90      7312   0.0008717
    96 | 001F5D      8029   0.0009571
    97 | 002272      8818   0.0010512
    98 | 0025D4      9684   0.0011544
    99 | 00298A     10634   0.0012677
   100 | 002D9F     11679   0.0013922
   101 | 003219     12825   0.0015289
   102 | 003705     14085   0.0016791
   103 | 003C6B     15467   0.0018438
   104 | 00425A     16986   0.0020249
   105 | 0048DE     18654   0.0022237
   106 | 005005     20485   0.0024420
   107 | 0057E1     22497   0.0026819
   108 | 006082     24706   0.0029452
   109 | 0069FB     27131   0.0032343
   110 | 007463     29795   0.0035518
   111 | 007FD0     32720   0.0039005
   112 | 008C5D     35933   0.0042835
   113 | 009A25     39461   0.0047041
   114 | 00A947     43335   0.0051659
   115 | 00B9E6     47590   0.0056732
   116 | 00CC27     52263   0.0062302
   117 | 00E032     57394   0.0068419
   118 | 00F635     63029   0.0075136
   119 | 010E62     69218   0.0082514
   120 | 0128ED     76013   0.0090615
   121 | 014615     83477   0.0099512
   122 | 016618     91672   0.0109282
   123 | 018941    100673   0.0120012
   124 | 01AFDD    110557   0.0131794
   125 | 01DA44    121412   0.0144734
   126 | 0208D5    133333   0.0158945
   127 | 023BF7    146423   0.0174550
