# P:$141980  env_shape_tbl_D  (128 words)
# env curve table D (used at P:$04CA area)
#  idx | hex     signed24   fraction(24-bit)
     0 | 3FCCF3   4181235   0.4984421
     1 | 3BF927   3930407   0.4685410
     2 | 386024   3694628   0.4404340
     3 | 34FE61   3472993   0.4140130
     4 | 31D08D   3264653   0.3891770
     5 | 2ED38D   3068813   0.3658310
     6 | 2C046C   2884716   0.3438849
     7 | 296074   2711668   0.3232560
     8 | 26E504   2548996   0.3038640
     9 | 248FB8   2396088   0.2856359
    10 | 225E3E   2252350   0.2685010
    11 | 204E72   2117234   0.2523940
    12 | 1E5E4E   1990222   0.2372530
    13 | 1C8BF4   1870836   0.2230210
    14 | 1AD58D   1758605   0.2096421
    15 | 193975   1653109   0.1970659
    16 | 17B613   1553939   0.1852440
    17 | 1649F5   1460725   0.1741320
    18 | 14F3AA   1373098   0.1636860
    19 | 13B1E2   1290722   0.1538661
    20 | 12836F   1213295   0.1446360
    21 | 116723   1140515   0.1359600
    22 | 105BE2   1072098   0.1278040
    23 | 0F60A6   1007782   0.1201370
    24 | 0E747E    947326   0.1129301
    25 | 0D967D    890493   0.1061550
    26 | 0CC5D2    837074   0.0997870
    27 | 0C01AC    786860   0.0938010
    28 | 0B4949    739657   0.0881740
    29 | 0A9BFA    695290   0.0828850
    30 | 09F90E    653582   0.0779130
    31 | 095FE5    614373   0.0732390
    32 | 08CFEA    577514   0.0688450
    33 | 084895    542869   0.0647150
    34 | 07C960    510304   0.0608330
    35 | 0751CE    479694   0.0571840
    36 | 06E161    450913   0.0537530
    37 | 0677BC    423868   0.0505290
    38 | 06146A    398442   0.0474980
    39 | 05B707    374535   0.0446481
    40 | 055F46    352070   0.0419700
    41 | 050CC3    330947   0.0394520
    42 | 04BF3C    311100   0.0370860
    43 | 047653    292435   0.0348610
    44 | 0431CF    274895   0.0327700
    45 | 03F163    258403   0.0308040
    46 | 03B4D5    242901   0.0289561
    47 | 037BEA    228330   0.0272191
    48 | 034667    214631   0.0255860
    49 | 03141A    201754   0.0240510
    50 | 02E4D2    189650   0.0226080
    51 | 02B863    178275   0.0212520
    52 | 028E9B    167579   0.0199770
    53 | 02675A    157530   0.0187790
    54 | 02426C    148076   0.0176520
    55 | 021FB8    139192   0.0165930
    56 | 01FF1E    130846   0.0155981
    57 | 01E072    122994   0.0146620
    58 | 01C3A4    115620   0.0137830
    59 | 01A88B    108683   0.0129560
    60 | 018F15    102165   0.0121790
    61 | 017721     96033   0.0114480
    62 | 01609E     90270   0.0107610
    63 | 014B7B     84859   0.0101160
    64 | 013797     79767   0.0095090
    65 | 0124EA     74986   0.0089390
    66 | 011351     70481   0.0084020
    67 | 0102CD     66253   0.0078980
    68 | 00F345     62277   0.0074240
    69 | 00E4B0     58544   0.0069790
    70 | 00D6F5     55029   0.0065600
    71 | 00CA15     51733   0.0061671
    72 | 00BDF5     48629   0.0057970
    73 | 00B28E     45710   0.0054491
    74 | 00A7D6     42966   0.0051219
    75 | 009DC7     40391   0.0048150
    76 | 00944F     37967   0.0045260
    77 | 008B6E     35694   0.0042551
    78 | 00830A     33546   0.0039990
    79 | 007B2D     31533   0.0037590
    80 | 0073CD     29645   0.0035340
    81 | 006CDB     27867   0.0033220
    82 | 006656     26198   0.0031230
    83 | 00602D     24621   0.0029351
    84 | 005A68     23144   0.0027590
    85 | 005500     21760   0.0025940
    86 | 004FE3     20451   0.0024379
    87 | 004B1B     19227   0.0022920
    88 | 004695     18069   0.0021540
    89 | 00425B     16987   0.0020250
    90 | 003E64     15972   0.0019040
    91 | 003A9F     15007   0.0017890
    92 | 00371E     14110   0.0016820
    93 | 0033CE     13262   0.0015810
    94 | 0030B1     12465   0.0014859
    95 | 002DC7     11719   0.0013970
    96 | 002B06     11014   0.0013130
    97 | 002878     10360   0.0012350
    98 | 00260B      9739   0.0011610
    99 | 0023C0      9152   0.0010910
   100 | 002196      8598   0.0010250
   101 | 001F97      8087   0.0009640
   102 | 001DB0      7600   0.0009060
   103 | 001BEB      7147   0.0008520
   104 | 001A3F      6719   0.0008010
   105 | 0018AD      6317   0.0007530
   106 | 00172B      5931   0.0007070
   107 | 0015CA      5578   0.0006649
   108 | 00147B      5243   0.0006250
   109 | 001345      4933   0.0005881
   110 | 001217      4631   0.0005521
   111 | 001102      4354   0.0005190
   112 | 000FFE      4094   0.0004880
   113 | 000F0A      3850   0.0004590
   114 | 000E1F      3615   0.0004309
   115 | 000D45      3397   0.0004050
   116 | 000C7C      3196   0.0003810
   117 | 000BBB      3003   0.0003580
   118 | 000B0B      2827   0.0003370
   119 | 000A63      2659   0.0003170
   120 | 0009C4      2500   0.0002980
   121 | 00092D      2349   0.0002800
   122 | 00089E      2206   0.0002630
   123 | 000818      2072   0.0002470
   124 | 00079A      1946   0.0002320
   125 | 000725      1829   0.0002180
   126 | 0006B8      1720   0.0002050
   127 | 000653      1619   0.0001930
