# P:$143F95  filter_div_table_1  (1201 words)
# FILTER: div table 1, indexed by BASE cutoff x $4AF>>24 (0..1199); used at P:$057D kernel
#  idx | hex     signed24   fraction(24-bit)
     0 | 0025AD      9645   0.0011498
     1 | 0025E2      9698   0.0011561
     2 | 002616      9750   0.0011623
     3 | 00264B      9803   0.0011686
     4 | 002680      9856   0.0011749
     5 | 0026B6      9910   0.0011814
     6 | 0026EC      9964   0.0011878
     7 | 002722     10018   0.0011942
     8 | 002758     10072   0.0012007
     9 | 00278F     10127   0.0012072
    10 | 0027C6     10182   0.0012138
    11 | 0027FD     10237   0.0012203
    12 | 002835     10293   0.0012270
    13 | 00286D     10349   0.0012337
    14 | 0028A5     10405   0.0012404
    15 | 0028DD     10461   0.0012470
    16 | 002916     10518   0.0012538
    17 | 00294F     10575   0.0012606
    18 | 002989     10633   0.0012676
    19 | 0029C3     10691   0.0012745
    20 | 0029FD     10749   0.0012814
    21 | 002A37     10807   0.0012883
    22 | 002A72     10866   0.0012953
    23 | 002AAD     10925   0.0013024
    24 | 002AE8     10984   0.0013094
    25 | 002B24     11044   0.0013165
    26 | 002B60     11104   0.0013237
    27 | 002B9C     11164   0.0013309
    28 | 002BD8     11224   0.0013380
    29 | 002C15     11285   0.0013453
    30 | 002C53     11347   0.0013527
    31 | 002C90     11408   0.0013599
    32 | 002CCE     11470   0.0013673
    33 | 002D0D     11533   0.0013748
    34 | 002D4B     11595   0.0013822
    35 | 002D8A     11658   0.0013897
    36 | 002DC9     11721   0.0013973
    37 | 002E09     11785   0.0014049
    38 | 002E49     11849   0.0014125
    39 | 002E89     11913   0.0014201
    40 | 002ECA     11978   0.0014279
    41 | 002F0B     12043   0.0014356
    42 | 002F4D     12109   0.0014435
    43 | 002F8E     12174   0.0014513
    44 | 002FD0     12240   0.0014591
    45 | 003013     12307   0.0014671
    46 | 003056     12374   0.0014751
    47 | 003099     12441   0.0014831
    48 | 0030DC     12508   0.0014911
    49 | 003120     12576   0.0014992
    50 | 003165     12645   0.0015074
    51 | 0031A9     12713   0.0015155
    52 | 0031EE     12782   0.0015237
    53 | 003234     12852   0.0015321
    54 | 003279     12921   0.0015403
    55 | 0032C0     12992   0.0015488
    56 | 003306     13062   0.0015571
    57 | 00334D     13133   0.0015656
    58 | 003394     13204   0.0015740
    59 | 0033DC     13276   0.0015826
    60 | 003424     13348   0.0015912
    61 | 00346D     13421   0.0015999
    62 | 0034B6     13494   0.0016086
    63 | 0034FF     13567   0.0016173
    64 | 003548     13640   0.0016260
    65 | 003593     13715   0.0016350
    66 | 0035DD     13789   0.0016438
    67 | 003628     13864   0.0016527
    68 | 003673     13939   0.0016617
    69 | 0036BF     14015   0.0016707
    70 | 00370B     14091   0.0016798
    71 | 003757     14167   0.0016888
    72 | 0037A4     14244   0.0016980
    73 | 0037F2     14322   0.0017073
    74 | 003840     14400   0.0017166
    75 | 00388E     14478   0.0017259
    76 | 0038DC     14556   0.0017352
    77 | 00392B     14635   0.0017446
    78 | 00397B     14715   0.0017542
    79 | 0039CB     14795   0.0017637
    80 | 003A1B     14875   0.0017732
    81 | 003A6C     14956   0.0017829
    82 | 003ABD     15037   0.0017926
    83 | 003B0F     15119   0.0018023
    84 | 003B61     15201   0.0018121
    85 | 003BB3     15283   0.0018219
    86 | 003C06     15366   0.0018318
    87 | 003C5A     15450   0.0018418
    88 | 003CAE     15534   0.0018518
    89 | 003D02     15618   0.0018618
    90 | 003D57     15703   0.0018719
    91 | 003DAC     15788   0.0018821
    92 | 003E02     15874   0.0018923
    93 | 003E58     15960   0.0019026
    94 | 003EAF     16047   0.0019130
    95 | 003F06     16134   0.0019233
    96 | 003F5D     16221   0.0019337
    97 | 003FB5     16309   0.0019442
    98 | 00400E     16398   0.0019548
    99 | 004067     16487   0.0019654
   100 | 0040C1     16577   0.0019761
   101 | 00411B     16667   0.0019869
   102 | 004175     16757   0.0019976
   103 | 0041D0     16848   0.0020084
   104 | 00422C     16940   0.0020194
   105 | 004288     17032   0.0020304
   106 | 0042E4     17124   0.0020413
   107 | 004341     17217   0.0020524
   108 | 00439E     17310   0.0020635
   109 | 0043FC     17404   0.0020747
   110 | 00445B     17499   0.0020860
   111 | 0044BA     17594   0.0020974
   112 | 00451A     17690   0.0021088
   113 | 00457A     17786   0.0021203
   114 | 0045DA     17882   0.0021317
   115 | 00463B     17979   0.0021433
   116 | 00469D     18077   0.0021549
   117 | 0046FF     18175   0.0021666
   118 | 004762     18274   0.0021784
   119 | 0047C5     18373   0.0021902
   120 | 004829     18473   0.0022022
   121 | 00488D     18573   0.0022141
   122 | 0048F2     18674   0.0022261
   123 | 004957     18775   0.0022382
   124 | 0049BD     18877   0.0022503
   125 | 004A24     18980   0.0022626
   126 | 004A8B     19083   0.0022749
   127 | 004AF2     19186   0.0022871
   128 | 004B5B     19291   0.0022997
   129 | 004BC3     19395   0.0023121
   130 | 004C2D     19501   0.0023247
   131 | 004C97     19607   0.0023373
   132 | 004D01     19713   0.0023500
   133 | 004D6C     19820   0.0023627
   134 | 004DD8     19928   0.0023756
   135 | 004E44     20036   0.0023885
   136 | 004EB1     20145   0.0024015
   137 | 004F1E     20254   0.0024145
   138 | 004F8C     20364   0.0024276
   139 | 004FFB     20475   0.0024408
   140 | 00506A     20586   0.0024540
   141 | 0050DA     20698   0.0024674
   142 | 00514A     20810   0.0024807
   143 | 0051BB     20923   0.0024942
   144 | 00522D     21037   0.0025078
   145 | 00529F     21151   0.0025214
   146 | 005312     21266   0.0025351
   147 | 005385     21381   0.0025488
   148 | 0053F9     21497   0.0025626
   149 | 00546E     21614   0.0025766
   150 | 0054E3     21731   0.0025905
   151 | 005559     21849   0.0026046
   152 | 0055D0     21968   0.0026188
   153 | 005647     22087   0.0026330
   154 | 0056BF     22207   0.0026473
   155 | 005738     22328   0.0026617
   156 | 0057B1     22449   0.0026761
   157 | 00582B     22571   0.0026907
   158 | 0058A5     22693   0.0027052
   159 | 005921     22817   0.0027200
   160 | 00599D     22941   0.0027348
   161 | 005A19     23065   0.0027496
   162 | 005A96     23190   0.0027645
   163 | 005B14     23316   0.0027795
   164 | 005B93     23443   0.0027946
   165 | 005C12     23570   0.0028098
   166 | 005C92     23698   0.0028250
   167 | 005D13     23827   0.0028404
   168 | 005D94     23956   0.0028558
   169 | 005E16     24086   0.0028713
   170 | 005E99     24217   0.0028869
   171 | 005F1D     24349   0.0029026
   172 | 005FA1     24481   0.0029184
   173 | 006026     24614   0.0029342
   174 | 0060AB     24747   0.0029501
   175 | 006132     24882   0.0029662
   176 | 0061B9     25017   0.0029823
   177 | 006241     25153   0.0029985
   178 | 0062C9     25289   0.0030147
   179 | 006353     25427   0.0030311
   180 | 0063DD     25565   0.0030476
   181 | 006467     25703   0.0030640
   182 | 0064F3     25843   0.0030807
   183 | 00657F     25983   0.0030974
   184 | 00660C     26124   0.0031142
   185 | 00669A     26266   0.0031312
   186 | 006729     26409   0.0031482
   187 | 0067B8     26552   0.0031652
   188 | 006848     26696   0.0031824
   189 | 0068D9     26841   0.0031997
   190 | 00696B     26987   0.0032171
   191 | 0069FE     27134   0.0032346
   192 | 006A91     27281   0.0032521
   193 | 006B25     27429   0.0032698
   194 | 006BBA     27578   0.0032876
   195 | 006C50     27728   0.0033054
   196 | 006CE6     27878   0.0033233
   197 | 006D7E     28030   0.0033414
   198 | 006E16     28182   0.0033596
   199 | 006EAF     28335   0.0033778
   200 | 006F49     28489   0.0033962
   201 | 006FE4     28644   0.0034146
   202 | 00707F     28799   0.0034331
   203 | 00711C     28956   0.0034518
   204 | 0071B9     29113   0.0034705
   205 | 007257     29271   0.0034894
   206 | 0072F6     29430   0.0035083
   207 | 007396     29590   0.0035274
   208 | 007436     29750   0.0035465
   209 | 0074D8     29912   0.0035658
   210 | 00757A     30074   0.0035851
   211 | 00761D     30237   0.0036045
   212 | 0076C2     30402   0.0036242
   213 | 007767     30567   0.0036439
