# P:$1448C6  resonance_hp_tbl  (128 words)
# RESONANCE: HPQ -> resonance/gain table, indexed HPQ>>1 (0..63); used at P:$0912 kernel amp stage
#  idx | hex     signed24   fraction(24-bit)
     0 | 400000   4194304   0.5000000
     1 | 394966   3754342   0.4475524
     2 | 33D91D   3397917   0.4050633
     3 | 2F5A44   3103300   0.3699422
     4 | 2B9310   2855696   0.3404255
     5 | 285ACC   2644684   0.3152709
     6 | 2593F7   2462711   0.2935780
     7 | 2328A7   2304167   0.2746781
     8 | 210842   2164802   0.2580645
     9 | 1F25F6   2041334   0.2433460
    10 | 1D77B6   1931190   0.2302158
    11 | 1BF584   1832324   0.2184300
    12 | 1A98EF   1743087   0.2077922
    13 | 195CBB   1662139   0.1981424
    14 | 183C97   1588375   0.1893491
    15 | 1734F1   1520881   0.1813031
    16 | 1642C8   1458888   0.1739130
    17 | 156398   1401752   0.1671019
    18 | 14953A   1348922   0.1608040
    19 | 13D5DA   1299930   0.1549637
    20 | 1323E3   1254371   0.1495327
    21 | 127DFA   1211898   0.1444695
    22 | 11E2EF   1172207   0.1397380
    23 | 1151BA   1135034   0.1353066
    24 | 10C971   1100145   0.1311475
    25 | 10494A   1067338   0.1272366
    26 | 0FD08E   1036430   0.1235521
    27 | 0F5E9E   1007262   0.1200750
    28 | 0EF2EB    979691   0.1167883
    29 | 0E8CF6    953590   0.1136768
    30 | 0E2C4A    928842   0.1107266
    31 | 0DD083    905347   0.1079258
    32 | 0D7943    883011   0.1052631
    33 | 0D2637    861751   0.1027287
    34 | 0CD712    841490   0.1003134
    35 | 0C8B91    822161   0.0980092
    36 | 0C4373    803699   0.0958084
    37 | 0BFE80    786048   0.0937042
    38 | 0BBC84    769156   0.0916905
    39 | 0B7D4F    752975   0.0897616
    40 | 0B40B4    737460   0.0879121
    41 | 0B068C    722572   0.0861373
    42 | 0ACEB1    708273   0.0844327
    43 | 0A9901    694529   0.0827943
    44 | 0A655C    681308   0.0812182
    45 | 0A33A5    668581   0.0797011
    46 | 0A03C1    656321   0.0782396
    47 | 09D597    644503   0.0768307
    48 | 09A90E    633102   0.0754716
    49 | 097E12    622098   0.0741599
    50 | 09548E    611470   0.0728929
    51 | 092C6F    601199   0.0716685
    52 | 0905A4    591268   0.0704846
    53 | 08E01B    581659   0.0693392
    54 | 08BBC5    572357   0.0682303
    55 | 089894    563348   0.0671563
    56 | 08767B    554619   0.0661157
    57 | 08556C    546156   0.0651069
    58 | 08355B    537947   0.0641283
    59 | 08163D    529981   0.0631787
    60 | 07F808    522248   0.0622568
    61 | 07DAB1    514737   0.0613614
    62 | 07BE2F    507439   0.0604914
    63 | 07A27A    500346   0.0596459
    64 | 078788    493448   0.0588236
    65 | 076D51    486737   0.0580236
    66 | 0753CF    480207   0.0572451
    67 | 073AF9    473849   0.0564872
    68 | 0722CA    467658   0.0557492
    69 | 070B3A    461626   0.0550301
    70 | 06F444    455748   0.0543294
    71 | 06DDE2    450018   0.0536463
    72 | 06C80E    444430   0.0529802
    73 | 06B2C3    438979   0.0523304
    74 | 069DFC    433660   0.0516963
    75 | 0689B4    428468   0.0510774
    76 | 0675E8    423400   0.0504732
    77 | 066292    418450   0.0498831
    78 | 064FAE    413614   0.0493066
    79 | 063D39    408889   0.0487434
    80 | 062B2E    404270   0.0481927
    81 | 06198B    399755   0.0476545
    82 | 06084B    395339   0.0471281
    83 | 05F76C    391020   0.0466132
    84 | 05E6EB    386795   0.0461096
    85 | 05D6C3    382659   0.0456165
    86 | 05C6F3    378611   0.0451339
    87 | 05B778    374648   0.0446615
    88 | 05A84F    370767   0.0441989
    89 | 059976    366966   0.0437458
    90 | 058AE9    363241   0.0433017
    91 | 057CA8    359592   0.0428667
    92 | 056EAF    356015   0.0424403
    93 | 0560FD    352509   0.0420223
    94 | 05538F    349071   0.0416125
    95 | 054663    345699   0.0412105
    96 | 053978    342392   0.0408163
    97 | 052CCC    339148   0.0404296
    98 | 05205C    335964   0.0400500
    99 | 051428    332840   0.0396776
   100 | 05082D    329773   0.0393120
   101 | 04FC6B    326763   0.0389532
   102 | 04F0DE    323806   0.0386007
   103 | 04E587    320903   0.0382546
   104 | 04DA63    318051   0.0379146
   105 | 04CF72    315250   0.0375807
   106 | 04C4B2    312498   0.0372527
   107 | 04BA21    309793   0.0369302
   108 | 04AFBE    307134   0.0366132
   109 | 04A589    304521   0.0363017
   110 | 049B80    301952   0.0359955
   111 | 0491A2    299426   0.0356944
   112 | 0487EE    296942   0.0353982
   113 | 047E63    294499   0.0351070
   114 | 0474FF    292095   0.0348204
   115 | 046BC3    289731   0.0345386
   116 | 0462AC    287404   0.0342612
   117 | 0459BB    285115   0.0339884
   118 | 0450ED    282861   0.0337197
   119 | 044843    280643   0.0334553
   120 | 043FBC    278460   0.0331950
   121 | 043756    276310   0.0329387
   122 | 042F12    274194   0.0326865
   123 | 0426ED    272109   0.0324379
   124 | 041EE8    270056   0.0321932
   125 | 041701    268033   0.0319520
   126 | 040F39    266041   0.0317146
   127 | 04078E    264078   0.0314806
