# X:$14A000  X_14A000_sine8k_full  (8192 words)
# m18 phaser LFO quadrature SIN (read at $144ED4/$145076: x:(r0+$14a000),a)
# 3 bytes/word big-endian signed 24-bit fraction = word/2^23
#  idx | hex     signed24   fraction(24-bit)
     0 | 000000         0   +0.0000000
     1 | 001922      6434   +0.0007670
     2 | 003244     12868   +0.0015340
     3 | 004B66     19302   +0.0023010
     4 | 006488     25736   +0.0030680
     5 | 007DAA     32170   +0.0038350
     6 | 0096CC     38604   +0.0046020
     7 | 00AFEE     45038   +0.0053689
     8 | 00C910     51472   +0.0061359
     9 | 00E231     57905   +0.0069028
    10 | 00FB53     64339   +0.0076698
    11 | 011475     70773   +0.0084368
    12 | 012D97     77207   +0.0092038
    13 | 0146B8     83640   +0.0099707
    14 | 015FDA     90074   +0.0107377
    15 | 0178FC     96508   +0.0115047
    16 | 01921D    102941   +0.0122715
    17 | 01AB3F    109375   +0.0130385
    18 | 01C460    115808   +0.0138054
    19 | 01DD81    122241   +0.0145723
    20 | 01F6A3    128675   +0.0153393
    21 | 020FC4    135108   +0.0161061
    22 | 0228E5    141541   +0.0168730
    23 | 024206    147974   +0.0176399
    24 | 025B27    154407   +0.0184067
    25 | 027448    160840   +0.0191736
    26 | 028D68    167272   +0.0199404
    27 | 02A689    173705   +0.0207072
    28 | 02BFAA    180138   +0.0214741
    29 | 02D8CA    186570   +0.0222409
    30 | 02F1EA    193002   +0.0230076
    31 | 030B0B    199435   +0.0237745
    32 | 03242B    205867   +0.0245413
    33 | 033D4B    212299   +0.0253080
    34 | 03566B    218731   +0.0260748
    35 | 036F8A    225162   +0.0268414
    36 | 0388AA    231594   +0.0276082
    37 | 03A1C9    238025   +0.0283748
    38 | 03BAE9    244457   +0.0291415
    39 | 03D408    250888   +0.0299082
    40 | 03ED27    257319   +0.0306748
    41 | 040646    263750   +0.0314415
    42 | 041F64    270180   +0.0322080
    43 | 043883    276611   +0.0329746
    44 | 0451A1    283041   +0.0337411
    45 | 046AC0    289472   +0.0345078
    46 | 0483DE    295902   +0.0352743
    47 | 049CFC    302332   +0.0360408
    48 | 04B619    308761   +0.0368072
    49 | 04CF37    315191   +0.0375737
    50 | 04E854    321620   +0.0383401
    51 | 050171    328049   +0.0391065
    52 | 051A8E    334478   +0.0398729
    53 | 0533AB    340907   +0.0406393
    54 | 054CC8    347336   +0.0414057
    55 | 0565E4    353764   +0.0421720
    56 | 057F00    360192   +0.0429382
    57 | 05981C    366620   +0.0437045
    58 | 05B138    373048   +0.0444708
    59 | 05CA53    379475   +0.0452369
    60 | 05E36F    385903   +0.0460032
    61 | 05FC8A    392330   +0.0467694
    62 | 0615A4    398756   +0.0475354
    63 | 062EBF    405183   +0.0483016
    64 | 0647D9    411609   +0.0490676
    65 | 0660F4    418036   +0.0498338
    66 | 067A0D    424461   +0.0505997
    67 | 069327    430887   +0.0513657
    68 | 06AC40    437312   +0.0521317
    69 | 06C559    443737   +0.0528976
    70 | 06DE72    450162   +0.0536635
    71 | 06F78B    456587   +0.0544294
    72 | 0710A3    463011   +0.0551952
    73 | 0729BB    469435   +0.0559610
    74 | 0742D3    475859   +0.0567268
    75 | 075BEA    482282   +0.0574925
    76 | 077502    488706   +0.0582583
    77 | 078E19    495129   +0.0590240
    78 | 07A72F    501551   +0.0597895
    79 | 07C046    507974   +0.0605552
    80 | 07D95C    514396   +0.0613208
    81 | 07F271    520817   +0.0620862
    82 | 080B87    527239   +0.0628518
    83 | 08249C    533660   +0.0636172
    84 | 083DB1    540081   +0.0643827
    85 | 0856C5    546501   +0.0651480
    86 | 086FD9    552921   +0.0659133
    87 | 0888ED    559341   +0.0666786
    88 | 08A201    565761   +0.0674440
    89 | 08BB14    572180   +0.0682092
    90 | 08D427    578599   +0.0689744
    91 | 08ED39    585017   +0.0697395
    92 | 09064B    591435   +0.0705045
    93 | 091F5D    597853   +0.0712696
    94 | 09386E    604270   +0.0720346
    95 | 09517F    610687   +0.0727996
    96 | 096A90    617104   +0.0735645
    97 | 0983A1    623521   +0.0743295
    98 | 099CB1    629937   +0.0750943
    99 | 09B5C0    636352   +0.0758591
   100 | 09CECF    642767   +0.0766238
   101 | 09E7DE    649182   +0.0773885
   102 | 0A00ED    655597   +0.0781533
   103 | 0A19FB    662011   +0.0789179
   104 | 0A3309    668425   +0.0796825
   105 | 0A4C16    674838   +0.0804470
   106 | 0A6523    681251   +0.0812114
   107 | 0A7E2F    687663   +0.0819758
   108 | 0A973C    694076   +0.0827403
   109 | 0AB047    700487   +0.0835046
   110 | 0AC953    706899   +0.0842689
   111 | 0AE25D    713309   +0.0850331
   112 | 0AFB68    719720   +0.0857973
   113 | 0B1472    726130   +0.0865614
   114 | 0B2D7C    732540   +0.0873256
   115 | 0B4685    738949   +0.0880896
   116 | 0B5F8E    745358   +0.0888536
   117 | 0B7896    751766   +0.0896175
   118 | 0B919E    758174   +0.0903814
   119 | 0BAAA5    764581   +0.0911452
   120 | 0BC3AC    770988   +0.0919089
   121 | 0BDCB3    777395   +0.0926727
   122 | 0BF5B9    783801   +0.0934364
   123 | 0C0EBE    790206   +0.0941999
   124 | 0C27C3    796611   +0.0949634
   125 | 0C40C8    803016   +0.0957270
   126 | 0C59CC    809420   +0.0964904
   127 | 0C72D0    815824   +0.0972538
   128 | 0C8BD3    822227   +0.0980171
   129 | 0CA4D6    828630   +0.0987804
   130 | 0CBDD8    835032   +0.0995436
   131 | 0CD6DA    841434   +0.1003067
   132 | 0CEFDB    847835   +0.1010698
   133 | 0D08DC    854236   +0.1018329
   134 | 0D21DC    860636   +0.1025958
   135 | 0D3ADC    867036   +0.1033587
   136 | 0D53DB    873435   +0.1041216
   137 | 0D6CDA    879834   +0.1048844
   138 | 0D85D8    886232   +0.1056471
   139 | 0D9ED6    892630   +0.1064098
   140 | 0DB7D3    899027   +0.1071724
   141 | 0DD0D0    905424   +0.1079350
   142 | 0DE9CC    911820   +0.1086974
   143 | 0E02C8    918216   +0.1094599
   144 | 0E1BC3    924611   +0.1102222
   145 | 0E34BD    931005   +0.1109844
   146 | 0E4DB7    937399   +0.1117467
   147 | 0E66B1    943793   +0.1125089
   148 | 0E7FAA    950186   +0.1132710
   149 | 0E98A2    956578   +0.1140330
   150 | 0EB19A    962970   +0.1147950
   151 | 0ECA91    969361   +0.1155568
   152 | 0EE387    975751   +0.1163186
   153 | 0EFC7D    982141   +0.1170803
   154 | 0F1573    988531   +0.1178421
   155 | 0F2E68    994920   +0.1186037
   156 | 0F475C   1001308   +0.1193652
   157 | 0F6050   1007696   +0.1201267
   158 | 0F7943   1014083   +0.1208881
   159 | 0F9235   1020469   +0.1216494
   160 | 0FAB27   1026855   +0.1224107
   161 | 0FC418   1033240   +0.1231718
   162 | 0FDD09   1039625   +0.1239330
   163 | 0FF5F9   1046009   +0.1246940
   164 | 100EE9   1052393   +0.1254550
   165 | 1027D7   1058775   +0.1262158
   166 | 1040C6   1065158   +0.1269767
   167 | 1059B3   1071539   +0.1277374
   168 | 1072A0   1077920   +0.1284981
   169 | 108B8C   1084300   +0.1292586
   170 | 10A478   1090680   +0.1300192
   171 | 10BD63   1097059   +0.1307796
   172 | 10D64E   1103438   +0.1315401
   173 | 10EF37   1109815   +0.1323003
   174 | 110820   1116192   +0.1330605
   175 | 112109   1122569   +0.1338207
   176 | 1139F1   1128945   +0.1345807
   177 | 1152D8   1135320   +0.1353407
   178 | 116BBE   1141694   +0.1361005
   179 | 1184A4   1148068   +0.1368604
   180 | 119D89   1154441   +0.1376201
   181 | 11B66E   1160814   +0.1383798
   182 | 11CF51   1167185   +0.1391393
   183 | 11E834   1173556   +0.1398988
   184 | 120117   1179927   +0.1406583
   185 | 1219F8   1186296   +0.1414175
   186 | 1232D9   1192665   +0.1421767
   187 | 124BBA   1199034   +0.1429360
   188 | 126499   1205401   +0.1436950
   189 | 127D78   1211768   +0.1444540
   190 | 129656   1218134   +0.1452129
   191 | 12AF34   1224500   +0.1459718
   192 | 12C810   1230864   +0.1467304
   193 | 12E0EC   1237228   +0.1474891
   194 | 12F9C8   1243592   +0.1482477
   195 | 1312A2   1249954   +0.1490061
   196 | 132B7C   1256316   +0.1497645
   197 | 134455   1262677   +0.1505228
   198 | 135D2D   1269037   +0.1512810
   199 | 137605   1275397   +0.1520392
   200 | 138EDC   1281756   +0.1527972
   201 | 13A7B2   1288114   +0.1535552
   202 | 13C087   1294471   +0.1543130
   203 | 13D95B   1300827   +0.1550707
   204 | 13F22F   1307183   +0.1558284
   205 | 140B02   1313538   +0.1565859
   206 | 1423D4   1319892   +0.1573434
   207 | 143CA6   1326246   +0.1581008
   208 | 145577   1332599   +0.1588582
   209 | 146E46   1338950   +0.1596153
   210 | 148716   1345302   +0.1603725
   211 | 149FE4   1351652   +0.1611295
   212 | 14B8B1   1358001   +0.1618863
   213 | 14D17E   1364350   +0.1626432
   214 | 14EA4A   1370698   +0.1633999
   215 | 150315   1377045   +0.1641566
   216 | 151BDF   1383391   +0.1649131
   217 | 1534A9   1389737   +0.1656696
   218 | 154D71   1396081   +0.1664258
   219 | 156639   1402425   +0.1671821
   220 | 157F00   1408768   +0.1679382
   221 | 1597C7   1415111   +0.1686944
   222 | 15B08C   1421452   +0.1694503
   223 | 15C950   1427792   +0.1702061
   224 | 15E214   1434132   +0.1709619
   225 | 15FAD7   1440471   +0.1717175
   226 | 161399   1446809   +0.1724731
   227 | 162C5A   1453146   +0.1732285
   228 | 16451A   1459482   +0.1739838
   229 | 165DDA   1465818   +0.1747391
   230 | 167698   1472152   +0.1754942
   231 | 168F56   1478486   +0.1762493
   232 | 16A813   1484819   +0.1770042
   233 | 16C0CF   1491151   +0.1777591
   234 | 16D98A   1497482   +0.1785138
   235 | 16F244   1503812   +0.1792684
   236 | 170AFD   1510141   +0.1800228
   237 | 1723B6   1516470   +0.1807773
   238 | 173C6D   1522797   +0.1815315
   239 | 175524   1529124   +0.1822858
   240 | 176DDA   1535450   +0.1830399
   241 | 17868F   1541775   +0.1837939
   242 | 179F42   1548098   +0.1845477
   243 | 17B7F5   1554421   +0.1853014
