# section 2: 12 records, final JMP -> 0x66
P 0x000000     102 c2dddc53672a 50.98039215686274%
P 0x000066     625 c9e2a7810e05 98.4%
P 0x000340     360 f6883c9b22f8 100.0%
P 0x0004a8    1701 d56ea1499386 100.0%
X 0x000240       6 8ef982cbe2c0 83.33333333333333%
X 0x000394      32 f109265cf6b9 100.0%
X 0x0003f4      32 029636c3d28f 100.0%
Y 0x000120       3 3e7077fd2f66 0.0%
Y 0x000130       2 b0f66adc8364 0.0%
Y 0x000132     514 dd10e8f64ab8 97.27626459143968%
Y 0x000334     256 163e36c81cb9 99.609375%
Y 0x0004fe       1 709e80c88487 0.0%
