# P:$141A00  env_shape_tbl_E  (128 words)
# env curve table E (used at P:$04E7/0532)
#  idx | hex     signed24   fraction(24-bit)
     0 | 020000    131072   0.0156250
     1 | 01E3E3    123875   0.0147671
     2 | 01C94F    117071   0.0139560
     3 | 01B036    110646   0.0131900
     4 | 01987C    104572   0.0124660
     5 | 01820A     98826   0.0117810
     6 | 016CD7     93399   0.0111340
     7 | 0158D1     88273   0.0105230
     8 | 0145E1     83425   0.0099450
     9 | 0133FD     78845   0.0093991
    10 | 012314     74516   0.0088830
    11 | 011316     70422   0.0083950
    12 | 0103FB     66555   0.0079340
    13 | 00F5BA     62906   0.0074990
    14 | 00E83A     59450   0.0070870
    15 | 00DB7B     56187   0.0066980
    16 | 00CF6C     53100   0.0063300
    17 | 00C40D     50189   0.0059830
    18 | 00B945     47429   0.0056540
    19 | 00AF1D     44829   0.0053440
    20 | 00A57A     42362   0.0050499
    21 | 009C67     40039   0.0047730
    22 | 0093D1     37841   0.0045110
    23 | 008BB1     35761   0.0042630
    24 | 008406     33798   0.0040290
    25 | 007CC8     31944   0.0038080
    26 | 0075EF     30191   0.0035990
    27 | 006F72     28530   0.0034010
    28 | 006951     26961   0.0032140
    29 | 00638D     25485   0.0030380
    30 | 005E14     24084   0.0028710
    31 | 0058E6     22758   0.0027130
    32 | 005404     21508   0.0025640
    33 | 004F6E     20334   0.0024240
    34 | 004B12     19218   0.0022910
    35 | 0046F1     18161   0.0021650
    36 | 00430B     17163   0.0020460
    37 | 003F60     16224   0.0019341
    38 | 003BDE     15326   0.0018270
    39 | 003897     14487   0.0017270
    40 | 00357A     13690   0.0016320
    41 | 003290     12944   0.0015430
    42 | 002FC7     12231   0.0014580
    43 | 002D28     11560   0.0013781
    44 | 002AAA     10922   0.0013020
    45 | 002856     10326   0.0012310
    46 | 00261C      9756   0.0011630
    47 | 002403      9219   0.0010990
    48 | 00220C      8716   0.0010390
    49 | 00202E      8238   0.0009820
    50 | 001E69      7785   0.0009280
    51 | 001CBD      7357   0.0008770
    52 | 001B2A      6954   0.0008290
    53 | 0019A8      6568   0.0007830
    54 | 001840      6208   0.0007401
    55 | 0016F0      5872   0.0007000
    56 | 0015A9      5545   0.0006610
    57 | 00147B      5243   0.0006250
    58 | 00135E      4958   0.0005910
    59 | 001249      4681   0.0005580
    60 | 00114D      4429   0.0005280
    61 | 00105A      4186   0.0004990
    62 | 000F6F      3951   0.0004710
    63 | 000E95      3733   0.0004450
    64 | 000DCC      3532   0.0004210
    65 | 000D0B      3339   0.0003980
    66 | 000C52      3154   0.0003760
    67 | 000BA2      2978   0.0003550
    68 | 000B03      2819   0.0003361
    69 | 000A63      2659   0.0003170
    70 | 0009D5      2517   0.0003000
    71 | 000946      2374   0.0002830
    72 | 0008C8      2248   0.0002680
    73 | 00084A      2122   0.0002530
    74 | 0007D5      2005   0.0002390
    75 | 000768      1896   0.0002260
    76 | 000703      1795   0.0002140
    77 | 00069E      1694   0.0002019
    78 | 000642      1602   0.0001910
    79 | 0005E6      1510   0.0001800
    80 | 00059A      1434   0.0001709
    81 | 000547      1351   0.0001611
    82 | 0004FB      1275   0.0001520
    83 | 0004B8      1208   0.0001440
    84 | 000475      1141   0.0001360
    85 | 00043A      1082   0.0001290
    86 | 0003FF      1023   0.0001220
    87 | 0003C5       965   0.0001150
    88 | 000392       914   0.0001090
    89 | 000360       864   0.0001030
    90 | 00032E       814   0.0000970
    91 | 000304       772   0.0000920
    92 | 0002DA       730   0.0000870
    93 | 0002B0       688   0.0000820
    94 | 000286       646   0.0000770
    95 | 000264       612   0.0000730
    96 | 000243       579   0.0000690
    97 | 000221       545   0.0000650
    98 | 000208       520   0.0000620
    99 | 0001E7       487   0.0000581
   100 | 0001CD       461   0.0000550
   101 | 0001B4       436   0.0000520
   102 | 00019B       411   0.0000490
   103 | 00018A       394   0.0000470
   104 | 000171       369   0.0000440
   105 | 000160       352   0.0000420
   106 | 000147       327   0.0000390
   107 | 000136       310   0.0000370
   108 | 000126       294   0.0000350
   109 | 000115       277   0.0000330
   110 | 000104       260   0.0000310
   111 | 0000FC       252   0.0000300
   112 | 0000EB       235   0.0000280
   113 | 0000DA       218   0.0000260
   114 | 0000D2       210   0.0000250
   115 | 0000C9       201   0.0000240
   116 | 0000B9       185   0.0000221
   117 | 0000B0       176   0.0000210
   118 | 0000A8       168   0.0000200
   119 | 00009F       159   0.0000190
   120 | 000097       151   0.0000180
   121 | 00008F       143   0.0000170
   122 | 000086       134   0.0000160
   123 | 00007E       126   0.0000150
   124 | 000075       117   0.0000139
   125 | 00006D       109   0.0000130
   126 | 00006D       109   0.0000130
   127 | 000000         0   0.0000000
