# P:$1444C6  filter_width_tbl_1  (128 words)
# FILTER: width table 1, indexed by WIDTH (0..127); used at P:$0595 kernel + EQ P:$07B7/0912
#  idx | hex     signed24   fraction(24-bit)
     0 | 007C42     31810   0.0037920
     1 | 007C7B     31867   0.0037988
     2 | 007CB7     31927   0.0038060
     3 | 007CF6     31990   0.0038135
     4 | 007D38     32056   0.0038214
     5 | 007D7E     32126   0.0038297
     6 | 007DC8     32200   0.0038385
     7 | 007E17     32279   0.0038480
     8 | 007E69     32361   0.0038577
     9 | 007EC0     32448   0.0038681
    10 | 007F1C     32540   0.0038791
    11 | 007F7E     32638   0.0038908
    12 | 007FE4     32740   0.0039029
    13 | 008050     32848   0.0039158
    14 | 0080C3     32963   0.0039295
    15 | 00813B     33083   0.0039438
    16 | 0081BB     33211   0.0039591
    17 | 008241     33345   0.0039750
    18 | 0082CF     33487   0.0039920
    19 | 008365     33637   0.0040098
    20 | 008403     33795   0.0040287
    21 | 0084AA     33962   0.0040486
    22 | 00855A     34138   0.0040696
    23 | 008614     34324   0.0040917
    24 | 0086D9     34521   0.0041152
    25 | 0087A8     34728   0.0041399
    26 | 008883     34947   0.0041660
    27 | 00896A     35178   0.0041935
    28 | 008A5E     35422   0.0042226
    29 | 008B60     35680   0.0042534
    30 | 008C6F     35951   0.0042857
    31 | 008D8E     36238   0.0043199
    32 | 008EBD     36541   0.0043560
    33 | 008FFD     36861   0.0043942
    34 | 00914F     37199   0.0044345
    35 | 0092B3     37555   0.0044769
    36 | 00942B     37931   0.0045217
    37 | 0095B8     38328   0.0045691
    38 | 00975B     38747   0.0046190
    39 | 009916     39190   0.0046718
    40 | 009AE9     39657   0.0047275
    41 | 009CD6     40150   0.0047863
    42 | 009EDF     40671   0.0048484
    43 | 00A105     41221   0.0049139
    44 | 00A349     41801   0.0049831
    45 | 00A5AD     42413   0.0050560
    46 | 00A834     43060   0.0051332
    47 | 00AADE     43742   0.0052145
    48 | 00ADAF     44463   0.0053004
    49 | 00B0A7     45223   0.0053910
    50 | 00B3CA     46026   0.0054867
    51 | 00B71A     46874   0.0055878
    52 | 00BA98     47768   0.0056944
    53 | 00BE49     48713   0.0058070
    54 | 00C22E     49710   0.0059259
    55 | 00C64A     50762   0.0060513
    56 | 00CAA2     51874   0.0061839
    57 | 00CF36     53046   0.0063236
    58 | 00D40D     54285   0.0064713
    59 | 00D928     55592   0.0066271
    60 | 00DE8C     56972   0.0067916
    61 | 00E43C     58428   0.0069652
    62 | 00EA3E     59966   0.0071485
    63 | 00F095     61589   0.0073420
    64 | 00FDF8     65016   0.0077505
    65 | 010C1A     68634   0.0081818
    66 | 011B05     72453   0.0086371
    67 | 012AC5     76485   0.0091177
    68 | 013B65     80741   0.0096251
    69 | 014CF2     85234   0.0101607
    70 | 015F79     89977   0.0107261
    71 | 017307     94983   0.0113229
    72 | 0187AD    100269   0.0119530
    73 | 019D78    105848   0.0126181
    74 | 01B47A    111738   0.0133202
    75 | 01CCC4    117956   0.0140615
    76 | 01E668    124520   0.0148439
    77 | 020179    131449   0.0156699
    78 | 021E0B    138763   0.0165418
    79 | 023C35    146485   0.0174624
    80 | 025C0C    154636   0.0184340
    81 | 027DA8    163240   0.0194597
    82 | 02A124    172324   0.0205426
    83 | 02C699    181913   0.0216857
    84 | 02EE24    192036   0.0228925
    85 | 0317E1    202721   0.0241662
    86 | 0343F2    214002   0.0255110
    87 | 037276    225910   0.0269306
    88 | 03A391    238481   0.0284292
    89 | 03D767    251751   0.0300111
    90 | 040E20    265760   0.0316811
    91 | 0447E4    280548   0.0334439
    92 | 0484DF    296159   0.0353049
    93 | 04C53F    312639   0.0372695
    94 | 050934    330036   0.0393434
    95 | 0550F1    348401   0.0415326
    96 | 059CAC    367788   0.0438437
    97 | 05EC9D    388253   0.0462834
    98 | 064102    409858   0.0488589
    99 | 069A18    432664   0.0515776
   100 | 06F824    456740   0.0544477
   101 | 075B6C    482156   0.0574775
   102 | 07C439    508985   0.0606757
   103 | 0832DC    537308   0.0640521
   104 | 08A7A6    567206   0.0676162
   105 | 0922F1    598769   0.0713788
   106 | 09A517    632087   0.0753506
   107 | 0A2E7C    667260   0.0795436
   108 | 0ABF86    704390   0.0839698
   109 | 0B58A2    743586   0.0886424
   110 | 0BFA42    784962   0.0935748
   111 | 0CA4E2    828642   0.0987818
   112 | 0D5900    874752   0.1042786
   113 | 0E1723    923427   0.1100811
   114 | 0EDFDC    974812   0.1162066
   115 | 0FB3BF   1029055   0.1226729
   116 | 10936D   1086317   0.1294991
   117 | 117F8E   1146766   0.1367052
   118 | 1278D2   1210578   0.1443121
   119 | 137FF4   1277940   0.1523423
   120 | 1495BC   1349052   0.1608195
   121 | 15BAF8   1424120   0.1697683
   122 | 16F085   1503365   0.1792151
   123 | 18374C   1587020   0.1891875
   124 | 199042   1675330   0.1997149
   125 | 1AFC6A   1768554   0.2108281
   126 | 1C7CD6   1866966   0.2225597
   127 | 1E12A6   1970854   0.2349441
