table at $140000 (2048 words, 24-bit)
idx(hex) hex frac(=/2^23)
  0 (00) 3FFFFF +0.4999999
  1 (01) 40058B +0.5001692
  2 (02) 400B18 +0.5003386
  3 (03) 4010A4 +0.5005078
  4 (04) 401632 +0.5006773
  5 (05) 401BBF +0.5008467
  6 (06) 40214E +0.5010164
  7 (07) 4026DC +0.5011859
  8 (08) 402C6B +0.5013555
  9 (09) 4031FB +0.5015253
 10 (0a) 40378B +0.5016950
 11 (0b) 403D1C +0.5018649
 12 (0c) 4042AD +0.5020348
 13 (0d) 40483F +0.5022048
 14 (0e) 404DD1 +0.5023748
 15 (0f) 405363 +0.5025448
 16 (10) 4058F6 +0.5027149
 17 (11) 405E8A +0.5028851
 18 (12) 40641E +0.5030553
 19 (13) 4069B2 +0.5032256
 20 (14) 406F47 +0.5033959
 21 (15) 4074DD +0.5035664
 22 (16) 407A72 +0.5037367
 23 (17) 408009 +0.5039073
 24 (18) 4085A0 +0.5040779
 25 (19) 408B37 +0.5042485
 26 (1a) 4090CF +0.5044192
 27 (1b) 409667 +0.5045899
 28 (1c) 409C00 +0.5047607
 29 (1d) 40A19A +0.5049317
 30 (1e) 40A733 +0.5051025
 31 (1f) 40ACCE +0.5052736
 32 (20) 40B268 +0.5054445
 33 (21) 40B804 +0.5056157
 34 (22) 40BD9F +0.5057868
 35 (23) 40C33C +0.5059581
 36 (24) 40C8D8 +0.5061293
 37 (25) 40CE76 +0.5063007
 38 (26) 40D413 +0.5064720
 39 (27) 40D9B2 +0.5066435
 40 (28) 40DF50 +0.5068150
 41 (29) 40E4EF +0.5069865
 42 (2a) 40EA8F +0.5071582
 43 (2b) 40F02F +0.5073298
 44 (2c) 40F5D0 +0.5075016
 45 (2d) 40FB71 +0.5076734
 46 (2e) 410112 +0.5078452
 47 (2f) 4106B5 +0.5080172
 48 (30) 410C57 +0.5081891
 49 (31) 4111FA +0.5083611
 50 (32) 41179E +0.5085332
 51 (33) 411D42 +0.5087054
 52 (34) 4122E6 +0.5088775
 53 (35) 41288B +0.5090498
 54 (36) 412E31 +0.5092221
 55 (37) 4133D7 +0.5093945
 56 (38) 41397D +0.5095669
 57 (39) 413F24 +0.5097394
 58 (3a) 4144CC +0.5099120
 59 (3b) 414A74 +0.5100846
 60 (3c) 41501C +0.5102572
 61 (3d) 4155C5 +0.5104300
 62 (3e) 415B6E +0.5106027
 63 (3f) 416118 +0.5107756
 64 (40) 4166C3 +0.5109485
 65 (41) 416C6E +0.5111215
 66 (42) 417219 +0.5112945
 67 (43) 4177C5 +0.5114676
 68 (44) 417D71 +0.5116407
 69 (45) 41831E +0.5118139
 70 (46) 4188CC +0.5119872
 71 (47) 418E79 +0.5121604
 72 (48) 419428 +0.5123339
 73 (49) 4199D7 +0.5125073
 74 (4a) 419F86 +0.5126808
 75 (4b) 41A536 +0.5128543
 76 (4c) 41AAE6 +0.5130279
 77 (4d) 41B097 +0.5132016
 78 (4e) 41B648 +0.5133753
 79 (4f) 41BBFA +0.5135491
 80 (50) 41C1AC +0.5137229
 81 (51) 41C75F +0.5138968
 82 (52) 41CD12 +0.5140707
 83 (53) 41D2C6 +0.5142448
 84 (54) 41D87A +0.5144188
 85 (55) 41DE2F +0.5145930
 86 (56) 41E3E4 +0.5147672
 87 (57) 41E99A +0.5149415
