# section 3: 133 records, final JMP -> 0x66
P 0x140000    2048 2c5a1ff66290 100.0%
P 0x140800    4096 e380b4101fe1 21.58203125%
P 0x141800     128 0537c715ab95 100.0%
P 0x141880     128 13a518a38799 100.0%
P 0x141900     128 e7518ae86804 100.0%
P 0x141980     128 c5c48fa8300a 100.0%
P 0x141a00     128 2717ac39610f 99.21875%
P 0x141a80      24 a5e03e83d062 100.0%
P 0x141a98   11822 17329eb4b1fb 99.9830823887667%
P 0x1448c6     256 0df3d5c8ec20 100.0%
P 0x1449c6     128 6895a2863c33 100.0%
P 0x144a46     129 4927e89807e9 99.2248062015504%
P 0x144ac7     258 976a61c5aeb6 100.0%
P 0x144bc9     256 b1fb174a4b02 100.0%
P 0x144cc9     209 04061ee10640 92.3444976076555%
P 0x144d9a     231 4409c92ebd12 97.83549783549783%
P 0x144e81     437 d40f9190a93f 98.62700228832952%
P 0x145036     213 09a164d0b814 98.59154929577464%
P 0x14510b      53 23f032f4ce92 98.11320754716981%
P 0x145140     590 6fa420c583c7 96.27118644067797%
P 0x14538e     670 497339139d20 97.76119402985074%
P 0x14562c     384 50efb098ab3d 100.0%
P 0x1457ac       6 60daa3a5f7db 0.0%
P 0x1457b2     384 957966f5f76e 100.0%
P 0x145932     387 0e6c446b9de9 100.0%
P 0x145ab5     537 c917f9065409 99.81378026070763%
P 0x145cce      68 08412568ff86 98.52941176470588%
P 0x145d12     439 cd44781da363 99.31662870159454%
P 0x145ec9     724 768d0a5bc685 98.75690607734806%
P 0x14619d     466 b36f936660c3 98.068669527897%
P 0x14636f     397 9d39f94bc5ea 95.96977329974811%
P 0x1464fc    3352 f375ae3ded32 98.15035799522673%
P 0x147214     398 59a8b2dd1787 100.0%
P 0x1473a2     327 226b71e08383 96.63608562691131%
P 0x1474e9     354 654e7309ccbd 96.89265536723164%
P 0x14764b      22 e0805b166663 90.9090909090909%
P 0x147661     381 45710b1eb4f2 98.68766404199475%
P 0x1477de     192 e4fee0fa7248 97.91666666666667%
P 0x14789e     648 04745013465e 99.53703703703704%
P 0x147b26      18 f00430624000 100.0%
P 0x147b38     457 30a2ca256b94 98.46827133479212%
P 0x147d01     204 7c3e7c6d1523 99.50980392156863%
P 0x147dcd     397 ef711b1e628f 99.49622166246851%
P 0x147f5a     213 58e7922d3303 98.59154929577464%
P 0x14802f      53 f92ccabff26e 98.11320754716981%
P 0x100000     465 8a29cae8d2f8 93.11827956989248%
P 0x1001d1    1568 5af701c93c68 100.0%
P 0x1007f1    1568 a80223e34655 100.0%
P 0x100e11    1568 df2c2bd6cc8b 100.0%
P 0x101431    1568 10455d296c3a 100.0%
P 0x101a51      42 434db75ff855 100.0%
P 0x101a7b     768 3041b51dc5ea 100.0%
P 0x101d7b     256 58a2ad8bc980 100.0%
P 0x101e7b     256 d07d60cf4f7f 100.0%
P 0x101f7b     256 953d82c14dd3 100.0%
P 0x10207b     256 16b3e1ac3158 100.0%
P 0x10217b     256 7f5f8b388dfe 100.0%
P 0x10227b     256 b60eb6661f84 100.0%
P 0x10237b     256 bb10b62c45b9 100.0%
P 0x10247b     256 52cd35d8d8f1 100.0%
P 0x10257b     256 3a5758c9525c 100.0%
P 0x10267b     256 e66b877ec241 100.0%
P 0x10277b     256 c7f0916c6d5e 100.0%
