143F95  0025AD
143F96  0025E2
143F97  002616
143F98  00264B
143F99  002680
143F9A  0026B6
143F9B  0026EC
143F9C  002722
143F9D  002758
143F9E  00278F
143F9F  0027C6
143FA0  0027FD
143FA1  002835
143FA2  00286D
143FA3  0028A5
143FA4  0028DD
143FA5  002916
143FA6  00294F
143FA7  002989
143FA8  0029C3
143FA9  0029FD
143FAA  002A37
143FAB  002A72
143FAC  002AAD
143FAD  002AE8
143FAE  002B24
143FAF  002B60
143FB0  002B9C
143FB1  002BD8
143FB2  002C15
143FB3  002C53
143FB4  002C90
143FB5  002CCE
143FB6  002D0D
143FB7  002D4B
143FB8  002D8A
143FB9  002DC9
143FBA  002E09
143FBB  002E49
143FBC  002E89
143FBD  002ECA
143FBE  002F0B
143FBF  002F4D
143FC0  002F8E
143FC1  002FD0
143FC2  003013
143FC3  003056
143FC4  003099
143FC5  0030DC
143FC6  003120
143FC7  003165
143FC8  0031A9
143FC9  0031EE
143FCA  003234
143FCB  003279
143FCC  0032C0
143FCD  003306
143FCE  00334D
143FCF  003394
143FD0  0033DC
143FD1  003424
143FD2  00346D
143FD3  0034B6
143FD4  0034FF
143FD5  003548
143FD6  003593
143FD7  0035DD
143FD8  003628
143FD9  003673
143FDA  0036BF
143FDB  00370B
143FDC  003757
143FDD  0037A4
143FDE  0037F2
143FDF  003840
143FE0  00388E
143FE1  0038DC
143FE2  00392B
143FE3  00397B
143FE4  0039CB
143FE5  003A1B
143FE6  003A6C
143FE7  003ABD
143FE8  003B0F
143FE9  003B61
143FEA  003BB3
143FEB  003C06
143FEC  003C5A
143FED  003CAE
143FEE  003D02
143FEF  003D57
143FF0  003DAC
143FF1  003E02
143FF2  003E58
143FF3  003EAF
143FF4  003F06
143FF5  003F5D
143FF6  003FB5
143FF7  00400E
143FF8  004067
143FF9  0040C1
143FFA  00411B
143FFB  004175
143FFC  0041D0
143FFD  00422C
143FFE  004288
143FFF  0042E4
