141880  8D1897
141881  8C4936
141882  8B8603
141883  8ACE5A
141884  8A21A0
141885  897F3D
141886  88E6A2
141887  885744
141888  87D09F
141889  875234
14188A  86DB8C
14188B  866C33
14188C  8603BC
14188D  85A1C2
14188E  8545E0
14188F  84EFBC
141890  849EFC
141891  84534D
141892  840C62
141893  83C9EF
141894  838BB0
141895  835161
141896  831AC5
141897  82E7A2
141898  82B7C0
141899  828AEB
14189A  8260F2
14189B  8239A8
14189C  8214E2
14189D  81F277
14189E  81D240
14189F  81B41B
1418A0  8197E6
1418A1  817D81
1418A2  8164CF
1418A3  814DB4
1418A4  813816
1418A5  8123DD
1418A6  8110F3
1418A7  80FF40
1418A8  80EEB3
1418A9  80DF37
1418AA  80D0BC
1418AB  80C330
1418AC  80B685
1418AD  80AAAB
1418AE  809F97
1418AF  809539
1418B0  808B88
1418B1  808278
1418B2  8079FE
1418B3  807211
1418B4  806AA7
1418B5  8063B9
1418B6  805D3E
1418B7  80572E
1418B8  805183
1418B9  804C37
1418BA  804742
1418BB  8042A0
1418BC  803E4B
1418BD  803A3E
1418BE  803674
1418BF  8032EA
1418C0  802F9A
1418C1  802C81
1418C2  80299C
1418C3  8026E7
1418C4  80245F
1418C5  802202
1418C6  801FCB
1418C7  801DBA
1418C8  801BCB
1418C9  8019FC
1418CA  80184B
1418CB  8016B6
1418CC  80153C
1418CD  8013DA
1418CE  801290
1418CF  80115A
1418D0  801039
1418D1  800F2B
1418D2  800E2E
1418D3  800D42
1418D4  800C65
1418D5  800B97
1418D6  800AD6
1418D7  800A21
1418D8  800978
1418D9  8008DB
1418DA  800847
1418DB  8007BD
1418DC  80073C
1418DD  8006C4
1418DE  800653
1418DF  8005EA
1418E0  800587
1418E1  80052B
1418E2  8004D5
1418E3  800484
1418E4  800439
1418E5  8003F3
1418E6  8003B1
1418E7  800374
1418E8  80033A
1418E9  800304
1418EA  8002D2
1418EB  8002A3
1418EC  800277
1418ED  80024E
1418EE  800228
1418EF  800204
1418F0  8001E2
1418F1  8001C3
1418F2  8001A5
1418F3  80018A
1418F4  800170
1418F5  800158
1418F6  800142
1418F7  80012D
1418F8  800119
1418F9  800107
1418FA  8000F6
1418FB  8000E6
1418FC  8000D7
1418FD  8000C9
1418FE  8000BC
1418FF  800000
