141800  400000
141801  3ADEC2
141802  3626CC
141803  31CFA2
141804  2DD189
141805  2A2563
141806  26C493
141807  23A919
141808  20CD5B
141809  1E2C45
14180A  1BC127
14180B  1987A5
14180C  177BC8
14180D  1599ED
14180E  13DEAD
14180F  1246FA
141810  10CFEA
141811  0F76F7
141812  0E39A4
141813  0D15BE
141814  0C093E
141815  0B1245
141816  0A2F16
141817  095E20
141818  089DE9
141819  07ED18
14181A  074A77
14181B  06B4D9
14181C  062B41
14181D  05ACAC
14181E  053837
14181F  04CD21
141820  046A98
141821  040FFE
141822  03BCA1
141823  036FF4
141824  032967
141825  02E886
141826  02ACDA
141827  0275F7
141828  024378
141829  021509
14182A  01EA4F
14182B  01C305
14182C  019ED8
14182D  017D9E
14182E  015F03
14182F  0142DD
141830  012902
141831  011130
141832  00FB4C
141833  00E725
141834  00D4A2
141835  00C398
141836  00B3E5
141837  00A57A
141838  009835
141839  008C05
14183A  0080D0
14183B  00767D
14183C  006CFD
14183D  00643D
14183E  005C36
14183F  0054CE
141840  004E05
141841  0047C3
141842  004207
141843  003CB8
141844  0037DF
141845  003361
141846  002F40
141847  002B7C
141848  0027FA
141849  0024CC
14184A  0021D9
14184B  001F21
14184C  001CA4
14184D  001A58
14184E  001837
14184F  001648
141850  00147B
141851  0012D7
141852  001156
141853  000FF5
141854  000EAE
141855  000D80
141856  000C6B
141857  000B70
141858  000A85
141859  0009AB
14185A  0008E1
14185B  000829
14185C  000781
14185D  0006EA
14185E  00065B
14185F  0005DE
141860  000560
141861  0004F3
141862  00048E
141863  000432
141864  0003DE
141865  00038A
141866  000347
141867  000304
141868  0002C1
141869  000286
14186A  000254
14186B  00022A
14186C  0001F7
14186D  0001CD
14186E  0001AC
14186F  00018A
141870  000169
141871  000150
141872  000136
141873  00011D
141874  000104
141875  0000EB
141876  0000DA
141877  0000C9
141878  0000B9
141879  0000A8
14187A  00009F
14187B  00008F
14187C  000086
14187D  00007E
14187E  00006D
14187F  000065
