142158  000880
142159  00088C
14215A  000898
14215B  0008A4
14215C  0008B0
14215D  0008BC
14215E  0008C8
14215F  0008D4
142160  0008E1
142161  0008ED
142162  0008F9
142163  000906
142164  000912
142165  00091F
142166  00092C
142167  000939
142168  000945
142169  000952
14216A  00095F
14216B  00096C
14216C  000979
14216D  000986
14216E  000994
14216F  0009A1
142170  0009AE
142171  0009BC
142172  0009C9
142173  0009D7
142174  0009E5
142175  0009F2
142176  000A00
142177  000A0E
142178  000A1C
142179  000A2A
14217A  000A38
14217B  000A47
14217C  000A55
14217D  000A63
14217E  000A72
14217F  000A80
142180  000A8F
142181  000A9D
142182  000AAC
142183  000ABB
142184  000ACA
142185  000AD9
142186  000AE8
142187  000AF7
