FM+ ratio table @ P:$141A80 (24 entries, 1.23 fixed-point, value/0x800000 = ratio)
# idx  raw      ratio
  0  004000  0.00195312
  1  008000  0.00390625
  2  010000  0.0078125
  3  018000  0.0117188
  4  020000  0.015625
  5  028000  0.0195312
  6  030000  0.0234375
  7  040000  0.03125
  8  050000  0.0390625
  9  060000  0.046875
 10  070000  0.0546875
 11  080000  0.0625
 12  0a0000  0.078125
 13  0c0000  0.09375
 14  0e0000  0.109375
 15  100000  0.125
 16  140000  0.15625
 17  180000  0.1875
 18  1c0000  0.21875
 19  200000  0.25
 20  280000  0.3125
 21  300000  0.375
 22  380000  0.4375
 23  400000  0.5
