141A00  020000
141A01  01E3E3
141A02  01C94F
141A03  01B036
141A04  01987C
141A05  01820A
141A06  016CD7
141A07  0158D1
141A08  0145E1
141A09  0133FD
141A0A  012314
141A0B  011316
141A0C  0103FB
141A0D  00F5BA
141A0E  00E83A
141A0F  00DB7B
141A10  00CF6C
141A11  00C40D
141A12  00B945
141A13  00AF1D
141A14  00A57A
141A15  009C67
141A16  0093D1
141A17  008BB1
141A18  008406
141A19  007CC8
141A1A  0075EF
141A1B  006F72
141A1C  006951
141A1D  00638D
141A1E  005E14
141A1F  0058E6
141A20  005404
141A21  004F6E
141A22  004B12
141A23  0046F1
141A24  00430B
141A25  003F60
141A26  003BDE
141A27  003897
141A28  00357A
141A29  003290
141A2A  002FC7
141A2B  002D28
141A2C  002AAA
141A2D  002856
141A2E  00261C
141A2F  002403
141A30  00220C
141A31  00202E
141A32  001E69
141A33  001CBD
141A34  001B2A
141A35  0019A8
141A36  001840
141A37  0016F0
141A38  0015A9
141A39  00147B
141A3A  00135E
141A3B  001249
141A3C  00114D
141A3D  00105A
141A3E  000F6F
141A3F  000E95
141A40  000DCC
141A41  000D0B
141A42  000C52
141A43  000BA2
141A44  000B03
141A45  000A63
141A46  0009D5
141A47  000946
141A48  0008C8
141A49  00084A
141A4A  0007D5
141A4B  000768
141A4C  000703
141A4D  00069E
141A4E  000642
141A4F  0005E6
141A50  00059A
141A51  000547
141A52  0004FB
141A53  0004B8
141A54  000475
141A55  00043A
141A56  0003FF
141A57  0003C5
141A58  000392
141A59  000360
141A5A  00032E
141A5B  000304
141A5C  0002DA
141A5D  0002B0
141A5E  000286
141A5F  000264
141A60  000243
141A61  000221
141A62  000208
141A63  0001E7
141A64  0001CD
141A65  0001B4
141A66  00019B
141A67  00018A
141A68  000171
141A69  000160
141A6A  000147
141A6B  000136
141A6C  000126
141A6D  000115
141A6E  000104
141A6F  0000FC
141A70  0000EB
141A71  0000DA
141A72  0000D2
141A73  0000C9
141A74  0000B9
141A75  0000B0
141A76  0000A8
141A77  00009F
141A78  000097
141A79  00008F
141A7A  000086
141A7B  00007E
141A7C  000075
141A7D  00006D
141A7E  00006D
141A7F  000000
